timestamp,pm_1,pm_25,pm_10,pm_4
2024-05-24 19:14:11,653,819,892,690
2024-05-24 19:14:13,662,843,926,700
2024-05-24 19:14:16,665,818,905,704
2024-05-24 19:14:18,656,842,917,693
2024-05-24 19:14:20,652,816,938,690
2024-05-24 19:14:23,644,801,914,681
2024-05-24 19:14:25,634,819,871,670
2024-05-24 19:14:28,630,790,887,666
2024-05-24 19:14:30,626,807,900,662
2024-05-24 19:14:32,627,768,913,664
2024-05-24 19:14:35,644,798,911,681
2024-05-24 19:14:37,649,788,907,686
2024-05-24 19:14:40,642,780,890,678
2024-05-24 19:14:42,627,765,909,663
2024-05-24 19:14:44,614,764,893,650
2024-05-24 19:14:47,589,763,865,623
2024-05-24 19:14:49,578,730,820,612
2024-05-24 19:14:52,574,749,835,608
2024-05-24 19:14:54,571,722,804,604
2024-05-24 19:14:56,565,723,798,597
2024-05-24 19:14:59,561,740,811,593
2024-05-24 19:15:01,551,714,824,583
2024-05-24 19:15:04,542,696,796,574
2024-05-24 19:15:06,542,688,788,573
2024-05-24 19:15:08,539,718,814,570
2024-05-24 19:15:11,537,704,798,568
2024-05-24 19:15:13,543,699,800,574
2024-05-24 19:15:16,559,728,797,591
2024-05-24 19:15:18,567,742,820,600
2024-05-24 19:15:20,573,738,822,606
2024-05-24 19:15:23,587,749,849,621
2024-05-24 19:15:25,596,767,876,630
2024-05-24 19:15:28,605,787,856,639
2024-05-24 19:15:30,608,766,889,643
2024-05-24 19:15:32,617,784,867,652
2024-05-24 19:15:35,614,759,888,649
2024-05-24 19:15:37,611,785,861,646
2024-05-24 19:15:40,603,772,839,637
2024-05-24 19:15:42,592,741,846,626
2024-05-24 19:15:44,579,732,823,612
2024-05-24 19:15:47,576,711,849,609
2024-05-24 19:15:49,573,737,822,606
2024-05-24 19:15:52,581,750,843,614
2024-05-24 19:15:54,588,758,859,622
2024-05-24 19:15:56,595,758,866,629
2024-05-24 19:15:59,600,750,864,634
2024-05-24 19:16:01,611,787,863,646
2024-05-24 19:16:04,618,792,875,653
2024-05-24 19:16:06,622,776,865,658
2024-05-24 19:16:08,618,794,878,654
2024-05-24 19:16:11,612,795,873,647
2024-05-24 19:16:13,607,755,877,642
2024-05-24 19:16:16,594,751,859,628
2024-05-24 19:16:18,588,752,853,621
2024-05-24 19:16:20,582,760,855,616
2024-05-24 19:16:23,579,733,824,612
2024-05-24 19:16:25,576,714,852,610
2024-05-24 19:16:28,574,746,832,607
2024-05-24 19:16:30,575,751,837,608
2024-05-24 19:16:32,570,712,843,603
2024-05-24 19:16:35,564,717,842,597
2024-05-24 19:16:37,561,738,809,593
2024-05-24 19:16:40,562,704,826,595
2024-05-24 19:16:42,568,749,828,601
2024-05-24 19:16:44,581,753,846,615
2024-05-24 19:16:47,590,770,873,624
2024-05-24 19:16:49,600,753,868,635
2024-05-24 19:16:52,608,766,889,643
2024-05-24 19:16:54,617,784,867,652
2024-05-24 19:16:56,627,767,912,663
2024-05-24 19:16:59,625,797,888,661
2024-05-24 19:17:01,629,777,872,665
2024-05-24 19:17:04,632,806,906,669
2024-05-24 19:17:06,638,803,909,675
2024-05-24 19:17:08,639,808,915,676
2024-05-24 19:17:11,642,785,896,679
2024-05-24 19:17:13,648,830,897,685
2024-05-24 19:17:16,662,839,921,700
2024-05-24 19:17:18,677,858,957,716
2024-05-24 19:17:20,679,828,930,718
2024-05-24 19:17:23,672,825,919,711
2024-05-24 19:17:25,653,820,893,690
2024-05-24 19:17:28,642,784,895,679
2024-05-24 19:17:30,641,822,881,677
2024-05-24 19:17:32,636,784,887,672
2024-05-24 19:17:35,627,763,907,663
2024-05-24 19:17:37,625,798,890,661
2024-05-24 19:17:40,630,788,886,666
2024-05-24 19:17:42,640,816,924,677
2024-05-24 19:17:44,648,833,900,686
2024-05-24 19:17:47,648,828,895,685
2024-05-24 19:17:49,654,828,902,692
2024-05-24 19:17:52,656,796,923,694
