time,pm_1,pm_25,pm_10,pm_4
2024-05-24 19:14:11,6.53,8.19,8.92,6.9
2024-05-24 19:14:13,6.62,8.43,9.26,7.0
2024-05-24 19:14:16,6.65,8.18,9.05,7.04
2024-05-24 19:14:18,6.56,8.42,9.17,6.93
2024-05-24 19:14:20,6.52,8.16,9.38,6.9
2024-05-24 19:14:23,6.44,8.01,9.14,6.81
2024-05-24 19:14:25,6.34,8.19,8.71,6.7
2024-05-24 19:14:28,6.3,7.9,8.87,6.66
2024-05-24 19:14:30,6.26,8.07,9.0,6.62
2024-05-24 19:14:32,6.27,7.68,9.13,6.64
2024-05-24 19:14:35,6.44,7.98,9.11,6.81
2024-05-24 19:14:37,6.49,7.88,9.07,6.86
2024-05-24 19:14:40,6.42,7.8,8.9,6.78
2024-05-24 19:14:42,6.27,7.65,9.09,6.63
2024-05-24 19:14:44,6.14,7.64,8.93,6.5
2024-05-24 19:14:47,5.89,7.63,8.65,6.23
2024-05-24 19:14:49,5.78,7.3,8.2,6.12
2024-05-24 19:14:52,5.74,7.49,8.35,6.08
2024-05-24 19:14:54,5.71,7.22,8.04,6.04
2024-05-24 19:14:56,5.65,7.23,7.98,5.97
2024-05-24 19:14:59,5.61,7.4,8.11,5.93
2024-05-24 19:15:01,5.51,7.14,8.24,5.83
2024-05-24 19:15:04,5.42,6.96,7.96,5.74
2024-05-24 19:15:06,5.42,6.88,7.88,5.73
2024-05-24 19:15:08,5.39,7.18,8.14,5.7
2024-05-24 19:15:11,5.37,7.04,7.98,5.68
2024-05-24 19:15:13,5.43,6.99,8.0,5.74
2024-05-24 19:15:16,5.59,7.28,7.97,5.91
2024-05-24 19:15:18,5.67,7.42,8.2,6.0
2024-05-24 19:15:20,5.73,7.38,8.22,6.06
2024-05-24 19:15:23,5.87,7.49,8.49,6.21
2024-05-24 19:15:25,5.96,7.67,8.76,6.3
2024-05-24 19:15:28,6.05,7.87,8.56,6.39
2024-05-24 19:15:30,6.08,7.66,8.89,6.43
2024-05-24 19:15:32,6.17,7.84,8.67,6.52
2024-05-24 19:15:35,6.14,7.59,8.88,6.49
2024-05-24 19:15:37,6.11,7.85,8.61,6.46
2024-05-24 19:15:40,6.03,7.72,8.39,6.37
2024-05-24 19:15:42,5.92,7.41,8.46,6.26
2024-05-24 19:15:44,5.79,7.32,8.23,6.12
2024-05-24 19:15:47,5.76,7.11,8.49,6.09
2024-05-24 19:15:49,5.73,7.37,8.22,6.06
2024-05-24 19:15:52,5.81,7.5,8.43,6.14
2024-05-24 19:15:54,5.88,7.58,8.59,6.22
2024-05-24 19:15:56,5.95,7.58,8.66,6.29
2024-05-24 19:15:59,6.0,7.5,8.64,6.34
2024-05-24 19:16:01,6.11,7.87,8.63,6.46
2024-05-24 19:16:04,6.18,7.92,8.75,6.53
2024-05-24 19:16:06,6.22,7.76,8.65,6.58
2024-05-24 19:16:08,6.18,7.94,8.78,6.54
2024-05-24 19:16:11,6.12,7.95,8.73,6.47
2024-05-24 19:16:13,6.07,7.55,8.77,6.42
2024-05-24 19:16:16,5.94,7.51,8.59,6.28
2024-05-24 19:16:18,5.88,7.52,8.53,6.21
2024-05-24 19:16:20,5.82,7.6,8.55,6.16
2024-05-24 19:16:23,5.79,7.33,8.24,6.12
2024-05-24 19:16:25,5.76,7.14,8.52,6.1
2024-05-24 19:16:28,5.74,7.46,8.32,6.07
2024-05-24 19:16:30,5.75,7.51,8.37,6.08
2024-05-24 19:16:32,5.7,7.12,8.43,6.03
2024-05-24 19:16:35,5.64,7.17,8.42,5.97
2024-05-24 19:16:37,5.61,7.38,8.09,5.93
2024-05-24 19:16:40,5.62,7.04,8.26,5.95
2024-05-24 19:16:42,5.68,7.49,8.28,6.01
2024-05-24 19:16:44,5.81,7.53,8.46,6.15
2024-05-24 19:16:47,5.9,7.7,8.73,6.24
2024-05-24 19:16:49,6.0,7.53,8.68,6.35
2024-05-24 19:16:52,6.08,7.66,8.89,6.43
