time,pm_1,pm_25,pm_10,pm_4
2024-05-24 20:28:01,482,619,753,510
2024-05-24 20:28:03,479,642,722,506
2024-05-24 20:28:05,475,610,736,502
2024-05-24 20:28:08,472,641,714,500
2024-05-24 20:28:10,464,625,739,491
2024-05-24 20:28:13,447,591,686,473
2024-05-24 20:28:15,444,614,706,469
2024-05-24 20:28:17,452,584,685,478
2024-05-24 20:28:20,457,619,725,483
2024-05-24 20:28:22,458,629,686,485
2024-05-24 20:28:25,455,604,708,481
2024-05-24 20:28:27,455,606,710,481
2024-05-24 20:28:29,460,595,704,487
2024-05-24 20:28:32,469,614,733,496
2024-05-24 20:28:34,487,656,745,515
2024-05-24 20:28:37,496,625,774,524
2024-05-24 20:28:39,496,631,730,525
2024-05-24 20:28:42,495,669,767,523
2024-05-24 20:28:44,494,660,757,522
2024-05-24 20:28:46,493,653,749,521
2024-05-24 20:28:49,495,666,764,523
2024-05-24 20:28:51,499,653,755,528
2024-05-24 20:28:53,514,667,786,543
2024-05-24 20:28:56,524,697,777,554
2024-05-24 20:28:58,548,693,801,580
2024-05-24 20:29:01,558,718,835,590
2024-05-24 20:29:03,566,735,812,599
2024-05-24 20:29:05,586,737,835,619
2024-05-24 20:29:08,603,776,844,638
2024-05-24 20:29:10,648,833,901,686
2024-05-24 20:29:13,689,855,967,729
2024-05-24 20:29:15,724,881,982,766
2024-05-24 20:29:17,735,919,985,779
2024-05-24 20:29:20,728,913,1023,773
2024-05-24 20:29:22,717,876,973,761
2024-05-24 20:29:25,707,896,982,750
2024-05-24 20:29:27,688,849,963,730
2024-05-24 20:29:29,668,842,933,708
2024-05-24 20:29:32,646,813,931,685
2024-05-24 20:29:34,601,758,876,637
2024-05-24 20:29:37,571,719,852,605
2024-05-24 20:29:39,536,690,786,569
2024-05-24 20:29:41,511,648,768,544
2024-05-24 20:29:44,488,665,760,519
2024-05-24 20:29:46,449,601,703,478
2024-05-24 20:29:49,428,585,663,456
2024-05-24 20:29:51,420,570,690,447
2024-05-24 20:29:53,419,562,682,447
2024-05-24 20:29:58,408,579,638,436
2024-05-24 20:30:01,405,552,658,433
2024-05-24 20:30:03,399,555,652,426
2024-05-24 20:30:05,394,521,663,420
2024-05-24 20:30:08,384,541,619,408
2024-05-24 20:30:10,375,520,637,398
2024-05-24 20:30:13,375,517,633,397
2024-05-24 20:30:15,379,502,623,401
2024-05-24 20:30:18,376,530,648,399
2024-05-24 20:30:20,374,516,632,397
2024-05-24 20:30:22,369,526,635,391
2024-05-24 20:30:25,366,496,601,387
2024-05-24 20:30:27,359,494,592,380
2024-05-24 20:30:29,358,482,579,378
2024-05-24 20:30:32,361,510,610,382
2024-05-24 20:30:34,365,493,597,386
2024-05-24 20:30:37,374,509,623,395
2024-05-24 20:30:39,384,544,620,406
2024-05-24 20:30:41,392,559,644,415
2024-05-24 20:30:44,402,538,634,426
2024-05-24 20:30:46,405,555,654,428
2024-05-24 20:30:49,404,553,650,428
2024-05-24 20:30:51,406,564,664,429
2024-05-24 20:30:53,409,541,644,433
2024-05-24 20:30:56,412,562,669,436
2024-05-24 20:30:58,417,551,664,441
2024-05-24 20:31:01,418,561,675,443
2024-05-24 20:31:03,415,583,643,439
2024-05-24 20:31:05,420,574,689,444
2024-05-24 20:31:08,435,595,678,461
2024-05-24 20:31:10,441,595,684,467
2024-05-24 20:31:13,463,621,734,490
2024-05-24 20:31:15,481,657,739,508
2024-05-24 20:31:17,502,676,732,531
2024-05-24 20:31:20,526,663,795,556
2024-05-24 20:31:22,539,716,812,570
2024-05-24 20:31:27,530,695,781,560
2024-05-24 20:31:29,523,691,770,553
2024-05-24 20:31:32,510,688,752,539
2024-05-24 20:31:34,510,640,755,540
2024-05-24 20:31:37,506,655,764,535
2024-05-24 20:31:39,500,661,765,529
2024-05-24 20:31:41,492,649,744,521
2024-05-24 20:31:44,480,649,730,507
2024-05-24 20:31:46,474,650,724,501
2024-05-24 20:31:49,463,616,728,489
2024-05-24 20:31:51,456,612,717,482
2024-05-24 20:31:53,442,598,687,467
2024-05-24 20:31:56,431,563,690,456
2024-05-24 20:31:58,426,572,693,450
2024-05-24 20:32:01,410,549,653,434
2024-05-24 20:32:03,408,534,637,432
2024-05-24 20:32:05,409,542,645,433
2024-05-24 20:32:08,409,543,646,433
2024-05-24 20:32:10,411,555,660,435
2024-05-24 20:32:13,411,557,662,435
2024-05-24 20:32:15,411,555,660,435
2024-05-24 20:32:17,411,556,662,435
2024-05-24 20:32:20,414,576,684,437
2024-05-24 20:32:22,412,567,674,436
2024-05-24 20:32:25,410,546,650,433
2024-05-24 20:32:27,405,561,660,429
2024-05-24 20:32:29,412,560,666,435
2024-05-24 20:32:32,414,579,687,438
2024-05-24 20:32:34,420,574,688,444
2024-05-24 20:32:37,433,581,660,458
2024-05-24 20:32:39,435,593,675,460
2024-05-24 20:32:41,436,600,682,461
2024-05-24 20:32:44,440,583,670,465
2024-05-24 20:32:46,437,562,696,462
2024-05-24 20:32:49,434,587,667,459
2024-05-24 20:32:51,434,590,670,459
2024-05-24 20:32:53,440,586,673,465
2024-05-24 20:32:56,444,615,707,469
2024-05-24 20:32:58,444,614,705,469
2024-05-24 20:33:01,449,609,707,475
2024-05-24 20:33:03,446,586,680,472
2024-05-24 20:33:05,442,597,686,467
2024-05-24 20:33:08,434,588,669,459
2024-05-24 20:33:10,424,559,679,449
2024-05-24 20:33:13,405,557,655,428
2024-05-24 20:33:15,396,538,626,419
2024-05-24 20:33:17,387,516,645,409
2024-05-24 20:33:20,383,533,607,405
2024-05-24 20:33:22,378,547,617,400
2024-05-24 20:33:25,382,530,654,405
2024-05-24 20:33:27,388,521,651,410
