time,pm_1,pm_25,pm_10,pm_4
2024-05-27 11:49:09,4.07,5.88,6.98,4.71
2024-05-27 11:49:11,4.03,5.6,7.14,4.66
2024-05-27 11:49:14,3.85,5.7,7.01,4.45
2024-05-27 11:49:16,3.65,5.1,6.65,4.21
2024-05-27 11:49:19,3.39,5.05,6.26,3.9
2024-05-27 11:49:21,2.99,4.45,5.66,3.43
2024-05-27 11:49:23,2.76,4.15,5.57,3.17
2024-05-27 11:49:26,2.44,4.12,5.13,2.79
2024-05-27 11:49:28,2.24,3.56,4.83,2.56
2024-05-27 11:49:31,2.04,3.55,4.58,2.34
2024-05-27 11:49:33,1.76,3.3,4.47,2.01
2024-05-27 11:49:35,1.59,2.98,3.95,1.82
2024-05-27 11:49:38,1.35,2.65,3.82,1.55
2024-05-27 11:49:40,1.21,2.54,3.54,1.39
2024-05-27 11:49:43,1.09,2.58,3.43,1.25
2024-05-27 11:49:45,1.0,2.5,3.17,1.09
2024-05-27 11:49:48,1.0,2.07,3.18,1.03
2024-05-27 11:49:50,1.0,2.29,3.28,1.0
2024-05-27 11:49:52,1.0,1.85,3.27,1.0
2024-05-27 11:49:55,1.0,2.01,2.87,1.0
2024-05-27 11:49:57,1.0,1.97,2.83,1.0
2024-05-27 11:49:59,1.0,2.2,3.09,1.0
2024-05-27 11:50:02,1.0,1.87,3.29,1.0
2024-05-27 11:50:04,1.0,1.82,3.23,1.0
2024-05-27 11:50:07,1.0,2.03,2.9,1.0
2024-05-27 11:50:09,1.0,1.86,3.2,1.0
2024-05-27 11:50:11,1.0,1.78,3.11,1.0
2024-05-27 11:50:14,1.0,1.82,3.15,1.0
2024-05-27 11:50:16,1.0,2.03,2.89,1.0
2024-05-27 11:50:19,1.0,1.94,3.29,1.0
2024-05-27 11:50:21,1.0,1.87,3.21,1.0
2024-05-27 11:50:23,1.0,2.22,3.04,1.0
2024-05-27 11:50:26,1.0,1.76,3.01,1.0
2024-05-27 11:50:28,1.0,1.8,3.05,1.0
2024-05-27 11:50:31,1.0,1.74,2.99,1.0
2024-05-27 11:50:33,1.0,1.78,3.04,1.0
2024-05-27 11:50:35,1.0,1.91,3.18,1.0
2024-05-27 11:50:38,1.0,2.0,2.79,1.0
2024-05-27 11:50:40,1.0,1.88,3.15,1.0
2024-05-27 11:50:43,1.0,1.68,2.92,1.0
2024-05-27 11:50:45,1.0,1.77,3.03,1.0
2024-05-27 11:50:47,1.0,2.09,2.97,1.0
2024-05-27 11:50:50,1.0,2.11,3.08,1.0
2024-05-27 11:50:52,1.0,2.36,3.37,1.0
2024-05-27 11:50:55,1.1,2.66,3.53,1.27
2024-05-27 11:50:57,1.3,2.73,3.86,1.5
2024-05-27 11:50:59,1.37,2.73,3.93,1.57
2024-05-27 11:51:02,1.36,2.67,3.87,1.57
2024-05-27 11:51:04,1.31,2.82,3.97,1.52
2024-05-27 11:51:07,1.23,2.66,3.7,1.42
2024-05-27 11:51:09,1.2,2.45,3.45,1.39
2024-05-27 11:51:11,1.19,2.34,3.83,1.38
2024-05-27 11:51:14,1.18,2.77,3.75,1.37
2024-05-27 11:54:41,1.0,2.25,3.46,1.1
2024-05-27 11:54:43,1.0,2.36,3.51,1.04
2024-05-27 11:54:45,1.0,2.04,3.13,1.0
2024-05-27 11:54:48,1.0,2.24,3.29,1.0
2024-05-27 11:54:50,1.0,2.15,3.18,1.0
2024-05-27 11:54:52,1.0,2.35,3.41,1.0
