time,pm_1,pm_25,pm_10,pm_4
2024-05-27 13:37:37,1.64,2.95,3.93,1.85
2024-05-27 13:37:39,1.69,3.27,4.3,1.89
2024-05-27 13:37:42,1.67,3.16,4.18,1.88
2024-05-27 13:37:44,1.67,3.15,4.16,1.87
2024-05-27 13:37:47,1.71,2.94,3.99,1.91
2024-05-27 13:37:49,1.77,3.43,4.06,1.98
2024-05-27 13:37:51,1.88,3.27,4.52,2.1
2024-05-27 13:37:54,1.94,3.28,4.61,2.17
2024-05-27 13:37:56,1.93,3.22,4.54,2.16
2024-05-27 13:37:59,1.89,3.38,4.15,2.11
2024-05-27 13:38:01,1.83,3.41,4.11,2.05
2024-05-27 13:38:03,1.77,3.41,4.03,1.98
2024-05-27 13:38:06,1.71,2.97,4.02,1.91
2024-05-27 13:38:08,1.64,2.95,3.93,1.84
2024-05-27 13:38:11,1.56,2.79,4.16,1.75
2024-05-27 13:38:13,1.52,2.99,3.82,1.7
2024-05-27 13:38:15,1.5,2.83,4.14,1.68
2024-05-27 13:38:18,1.49,2.72,4.01,1.67
2024-05-27 13:38:20,1.43,2.79,4.02,1.61
2024-05-27 13:38:23,1.35,2.67,3.8,1.52
2024-05-27 13:38:25,1.33,2.51,3.62,1.5
2024-05-27 13:38:27,1.38,2.88,4.05,1.55
2024-05-27 13:38:30,1.42,2.71,3.93,1.6
2024-05-27 13:38:32,1.48,2.65,3.94,1.67
2024-05-27 13:38:35,1.47,3.09,3.88,1.66
2024-05-27 13:38:37,1.44,2.85,4.09,1.63
2024-05-27 13:38:39,2.42,4.06,5.0,2.73
2024-05-27 13:38:42,4.01,5.54,6.89,4.52
2024-05-27 13:38:44,4.24,5.82,6.94,4.77
2024-05-27 13:38:47,3.9,5.71,6.91,4.39
2024-05-27 13:38:49,3.63,5.05,6.41,4.07
2024-05-27 13:38:51,3.24,4.99,5.88,3.63
2024-05-27 13:38:54,3.13,4.6,5.86,3.5
2024-05-27 13:38:56,3.0,4.59,5.69,3.36
2024-05-27 13:38:59,2.84,4.38,5.29,3.18
2024-05-27 13:39:01,2.72,4.39,5.15,3.04
2024-05-27 13:39:03,2.51,3.73,5.24,2.8
2024-05-27 13:39:06,2.34,3.95,4.76,2.62
2024-05-27 13:39:08,2.11,3.64,4.66,2.36
2024-05-27 13:39:11,1.97,3.51,4.36,2.2
2024-05-27 13:39:13,1.83,3.41,4.09,2.04
2024-05-27 13:39:15,1.62,3.26,4.19,1.81
2024-05-27 13:39:18,1.5,2.84,4.13,1.68
2024-05-27 13:39:20,1.38,2.91,3.56,1.54
2024-05-27 13:39:23,1.33,2.48,3.56,1.48
2024-05-27 13:39:25,1.29,2.65,3.69,1.43
2024-05-27 13:39:27,1.26,2.42,3.42,1.4
2024-05-27 13:39:30,1.22,2.59,3.54,1.35
2024-05-27 13:39:32,1.13,2.44,3.29,1.26
2024-05-27 13:39:35,1.09,2.64,3.44,1.22
2024-05-27 13:39:37,1.29,2.66,3.69,1.43
2024-05-27 13:39:39,1.42,2.74,3.93,1.58
2024-05-27 13:39:42,1.44,2.84,4.05,1.6
2024-05-27 13:39:44,1.45,2.93,3.65,1.61
2024-05-27 13:39:47,1.46,2.99,3.72,1.62
2024-05-27 13:39:49,1.43,2.75,3.94,1.58
2024-05-27 13:39:51,1.36,2.73,3.84,1.51
2024-05-27 13:39:54,1.33,2.53,3.61,1.48
2024-05-27 13:39:56,1.26,2.45,3.45,1.4
2024-05-27 13:39:59,1.2,2.51,3.44,1.34
2024-05-27 13:40:01,1.14,2.47,3.32,1.26
2024-05-27 13:40:03,1.13,2.44,3.29,1.26
2024-05-27 13:40:06,1.1,2.21,3.53,1.23
2024-05-27 13:40:08,1.04,2.19,3.42,1.15
2024-05-27 13:40:11,1.0,2.37,3.56,1.11
2024-05-27 13:40:13,1.07,2.43,3.7,1.19
