time,pm_1,pm_25,pm_10,pm_4
2024-06-17 15:00:19,1.0,2.06,3.05,1.0
2024-06-17 15:00:21,1.0,2.06,3.04,1.0
2024-06-17 15:00:24,1.0,2.4,3.44,1.0
2024-06-17 15:00:26,1.0,2.03,3.08,1.0
2024-06-17 15:00:29,1.0,2.24,3.32,1.03
2024-06-17 15:00:31,1.03,2.16,3.3,1.09
2024-06-17 15:00:33,1.04,2.24,3.4,1.1
2024-06-17 15:00:36,1.05,2.31,3.47,1.11
2024-06-17 15:00:38,1.02,2.1,3.23,1.08
2024-06-17 15:00:41,1.0,2.39,3.49,1.05
2024-06-17 15:00:43,1.0,2.17,3.25,1.02
2024-06-17 15:00:48,1.0,2.22,3.3,1.03
2024-06-17 15:00:50,1.0,2.41,3.51,1.05
2024-06-17 15:00:53,1.01,2.53,3.15,1.07
2024-06-17 15:00:55,1.03,2.22,3.37,1.09
2024-06-17 15:00:57,1.05,2.34,3.5,1.11
2024-06-17 15:01:00,1.1,2.23,3.45,1.16
2024-06-17 15:01:02,1.11,2.34,3.57,1.18
2024-06-17 15:01:05,1.11,2.28,3.51,1.17
2024-06-17 15:01:07,1.08,2.6,3.31,1.15
2024-06-17 15:01:09,1.05,2.32,3.48,1.11
2024-06-17 15:01:12,1.0,2.41,3.52,1.05
2024-06-17 15:01:14,1.0,2.05,3.11,1.01
2024-06-17 15:01:17,1.0,2.14,3.21,1.02
2024-06-17 15:01:19,1.0,2.18,3.26,1.02
2024-06-17 15:01:21,1.0,2.28,3.37,1.04
2024-06-17 15:01:24,1.0,2.31,3.4,1.04
2024-06-17 15:01:26,1.0,2.25,3.33,1.03
2024-06-17 15:01:29,1.0,2.06,3.12,1.01
2024-06-17 15:01:31,1.0,2.25,3.26,1.0
2024-06-17 15:01:33,1.0,2.35,3.31,1.0
2024-06-17 15:01:36,1.0,2.03,2.95,1.0
2024-06-17 15:01:38,1.0,1.99,2.9,1.0
2024-06-17 15:01:41,1.0,2.03,2.94,1.0
2024-06-17 15:01:43,1.0,2.21,3.15,1.0
2024-06-17 15:01:45,1.0,2.29,3.24,1.0
2024-06-17 15:01:48,1.0,2.07,2.98,1.0
2024-06-17 15:01:50,1.0,1.91,3.31,1.0
2024-06-17 15:01:55,1.0,1.89,3.29,1.0
2024-06-17 15:01:57,1.0,2.24,3.11,1.0
2024-06-17 15:02:00,1.0,2.06,2.91,1.0
2024-06-17 15:02:02,1.0,2.04,2.89,1.0
2024-06-17 15:02:05,1.0,2.07,2.92,1.0
2024-06-17 15:02:07,1.0,2.2,3.07,1.0
2024-06-17 15:02:09,1.0,2.01,2.92,1.0
2024-06-17 15:02:12,1.0,2.16,3.09,1.0
2024-06-17 15:02:14,1.0,2.12,3.05,1.0
2024-06-17 15:02:17,1.0,1.89,3.28,1.0
2024-06-17 15:02:19,1.0,1.96,2.86,1.0
2024-06-17 15:02:21,1.0,2.09,3.01,1.0
2024-06-17 15:02:24,1.0,2.37,3.33,1.0
2024-06-17 15:02:26,1.0,2.41,3.38,1.0
2024-06-17 15:02:29,1.0,1.93,3.4,1.0
2024-06-17 15:02:31,1.0,2.04,3.02,1.0
2024-06-17 15:02:34,1.0,2.07,3.06,1.0
2024-06-17 15:02:36,1.0,2.02,3.0,1.0
2024-06-17 15:02:38,1.0,2.26,3.28,1.0
2024-06-17 15:02:41,1.0,2.02,3.07,1.0
2024-06-17 15:02:43,1.0,2.26,3.35,1.03
2024-06-17 15:02:45,1.01,2.56,3.19,1.07
2024-06-17 15:02:48,1.04,2.28,3.43,1.1
2024-06-17 15:02:50,1.06,2.4,3.58,1.12
2024-06-17 15:02:53,1.08,2.54,3.24,1.14
2024-06-17 15:02:55,1.08,2.59,3.29,1.14
2024-06-17 15:02:57,1.13,2.51,3.27,1.2
2024-06-17 15:03:00,1.14,2.54,3.3,1.2
2024-06-17 15:03:02,1.12,2.4,3.65,1.19
2024-06-17 15:03:05,1.03,2.22,3.37,1.09
2024-06-17 15:03:07,1.0,2.2,3.28,1.02
2024-06-17 15:03:09,1.0,2.24,3.25,1.0
2024-06-17 15:03:12,1.0,2.06,3.04,1.0
2024-06-17 15:03:14,1.0,2.31,3.27,1.0
2024-06-17 15:03:17,1.0,1.9,3.3,1.0
2024-06-17 15:03:19,1.0,2.25,3.12,1.0
2024-06-17 15:03:21,1.0,2.26,3.06,1.0
2024-06-17 15:03:24,1.0,2.02,2.8,1.0
2024-06-17 15:03:26,1.0,1.78,3.02,1.0
2024-06-17 15:03:29,1.0,2.14,2.86,1.0
2024-06-17 15:03:31,1.0,1.95,3.14,1.0
2024-06-17 15:03:33,1.0,2.16,2.89,1.0
2024-06-17 15:03:36,1.0,2.08,2.86,1.0
2024-06-17 15:03:38,1.0,1.92,3.32,1.0
2024-06-17 15:03:41,1.0,2.33,3.28,1.0
2024-06-17 15:03:43,1.0,2.02,3.0,1.0
2024-06-17 15:03:45,1.0,2.19,3.19,1.0
2024-06-17 15:03:48,1.0,2.0,3.05,1.0
2024-06-17 15:03:50,1.0,2.2,3.28,1.02
2024-06-17 15:03:53,1.0,2.2,3.27,1.02
2024-06-17 15:03:55,1.0,2.05,3.11,1.01
2024-06-17 15:03:57,1.0,2.38,3.41,1.0
2024-06-17 15:04:00,1.0,2.24,3.25,1.0
2024-06-17 15:04:02,1.0,2.08,3.07,1.0
2024-06-17 15:04:05,1.0,1.97,2.94,1.0
2024-06-17 15:04:07,1.0,1.95,2.93,1.0
2024-06-17 15:04:09,1.0,2.35,3.38,1.0
2024-06-17 15:04:12,1.0,2.04,3.1,1.0
2024-06-17 15:04:14,1.0,2.32,3.41,1.04
