time,pm_1,pm_25,pm_10,pm_4
2024-06-17 16:58:16,1.11,2.33,3.56,1.18
2024-06-17 16:58:19,1.14,2.59,3.36,1.21
2024-06-17 16:58:21,1.19,2.48,3.3,1.26
2024-06-17 16:58:23,1.22,2.7,3.55,1.29
2024-06-17 16:58:26,1.21,2.63,3.47,1.28
2024-06-17 16:58:28,1.22,2.66,3.51,1.29
2024-06-17 16:58:31,1.2,2.56,3.39,1.27
2024-06-17 16:58:33,1.23,2.73,3.59,1.3
2024-06-17 16:58:35,1.2,2.53,3.36,1.27
2024-06-17 16:58:38,1.15,2.65,3.43,1.22
2024-06-17 16:58:40,1.1,2.26,3.48,1.17
2024-06-17 16:58:43,1.04,2.29,3.45,1.1
2024-06-17 16:58:45,1.04,2.23,3.38,1.1
2024-06-17 16:58:47,1.05,2.32,3.48,1.11
2024-06-17 16:58:50,1.03,2.17,3.31,1.09
2024-06-17 16:58:52,1.0,2.42,3.52,1.05
2024-06-17 16:58:55,1.0,2.07,3.13,1.01
2024-06-17 16:58:57,1.0,2.28,3.3,1.0
2024-06-17 16:58:59,1.0,2.2,3.21,1.0
2024-06-17 16:59:02,1.0,2.38,3.41,1.0
2024-06-17 16:59:04,1.0,2.07,3.12,1.01
2024-06-17 16:59:07,1.0,2.35,3.45,1.04
2024-06-17 16:59:09,1.0,2.35,3.45,1.05
2024-06-17 16:59:11,1.0,2.47,3.09,1.06
2024-06-17 16:59:14,1.02,2.57,3.2,1.07
2024-06-17 16:59:16,1.02,2.09,3.23,1.08
2024-06-17 16:59:19,1.0,2.46,3.08,1.06
2024-06-17 16:59:21,1.0,2.17,3.24,1.02
2024-06-17 16:59:23,1.0,2.39,3.42,1.0
2024-06-17 16:59:26,1.0,1.99,2.97,1.0
2024-06-17 16:59:28,1.0,1.98,2.88,1.0
2024-06-17 16:59:31,1.0,1.86,3.25,1.0
2024-06-17 16:59:33,1.0,2.28,3.16,1.0
2024-06-17 16:59:35,1.0,1.95,3.35,1.0
2024-06-17 16:59:38,1.0,2.05,2.96,1.0
2024-06-17 16:59:40,1.0,2.06,2.98,1.0
2024-06-17 16:59:43,1.0,2.27,3.22,1.0
2024-06-17 16:59:45,1.0,2.37,3.33,1.0
2024-06-17 16:59:47,1.0,2.33,3.29,1.0
2024-06-17 16:59:50,1.0,2.36,3.32,1.0
2024-06-17 16:59:52,1.0,2.41,3.37,1.0
2024-06-17 16:59:55,1.0,2.38,3.34,1.0
2024-06-17 16:59:57,1.0,1.96,2.94,1.0
2024-06-17 16:59:59,1.0,2.22,3.23,1.0
2024-06-17 17:00:02,1.0,2.32,3.34,1.0
2024-06-17 17:00:04,1.0,2.28,3.3,1.0
2024-06-17 17:00:07,1.0,2.42,3.45,1.0
2024-06-17 17:00:09,1.0,2.06,3.12,1.01
2024-06-17 17:00:11,1.0,2.43,3.47,1.0
2024-06-17 17:00:14,1.0,2.3,3.32,1.0
2024-06-17 17:00:16,1.0,2.1,3.16,1.01
2024-06-17 17:00:19,1.0,2.07,3.13,1.01
2024-06-17 17:00:21,1.0,2.05,3.11,1.01
2024-06-17 17:00:23,1.0,2.06,3.12,1.01
2024-06-17 17:00:26,1.0,2.11,3.18,1.01
2024-06-17 17:00:28,1.0,2.34,3.44,1.04
2024-06-17 17:00:31,1.0,2.48,3.09,1.06
2024-06-17 17:00:43,1.12,2.43,3.68,1.19
2024-06-17 17:00:45,1.11,2.33,3.56,1.18
2024-06-17 17:00:48,1.1,2.23,3.46,1.16
2024-06-17 17:00:50,1.08,2.6,3.3,1.15
2024-06-17 17:00:52,1.07,2.54,3.23,1.14
