time,pm_1,pm_25,pm_10,pm_4
2024-06-28 16:41:27,1.32,2.45,3.51,1.46
2024-06-28 16:41:29,1.29,2.7,3.73,1.43
2024-06-28 16:41:32,1.23,2.74,3.69,1.36
2024-06-28 16:41:34,1.23,2.69,3.63,1.35
2024-06-28 16:41:36,1.21,2.55,3.47,1.33
2024-06-28 16:41:39,1.15,2.6,3.46,1.27
2024-06-28 16:41:41,1.16,2.68,3.54,1.28
2024-06-28 16:41:44,1.15,2.59,3.44,1.27
2024-06-28 16:41:46,1.11,2.24,3.54,1.22
2024-06-28 16:41:48,1.07,2.48,3.24,1.18
2024-06-28 16:41:51,1.01,2.45,3.13,1.11
2024-06-28 16:41:53,1.0,2.25,3.4,1.08
2024-06-28 16:41:56,1.0,2.22,3.37,1.08
2024-06-28 16:41:58,1.0,2.53,3.15,1.05
2024-06-28 16:42:00,1.0,2.35,3.44,1.02
2024-06-28 16:42:03,1.0,2.13,3.26,1.06
2024-06-28 16:42:05,1.02,2.58,3.28,1.12
2024-06-28 16:42:08,1.13,2.45,3.28,1.25
2024-06-28 16:42:10,1.21,2.57,3.49,1.33
2024-06-28 16:42:12,1.32,2.43,3.48,1.45
2024-06-28 16:42:15,1.36,2.77,3.86,1.5
2024-06-28 16:42:17,1.48,2.7,3.93,1.63
2024-06-28 16:42:20,1.64,2.94,3.86,1.8
2024-06-28 16:42:22,1.71,3.0,3.99,1.88
2024-06-28 16:42:24,1.78,3.02,4.1,1.95
2024-06-28 16:42:27,1.84,3.06,4.21,2.02
2024-06-28 16:42:29,1.93,3.25,4.5,2.12
2024-06-28 16:42:32,2.03,3.52,4.39,2.23
2024-06-28 16:42:34,2.09,3.46,4.39,2.29
2024-06-28 16:42:36,2.09,3.51,4.44,2.29
2024-06-28 16:42:39,2.1,3.55,4.5,2.3
2024-06-28 16:42:41,2.08,3.4,4.32,2.28
2024-06-28 16:42:43,2.07,3.31,4.72,2.26
2024-06-28 16:42:46,2.06,3.23,4.62,2.25
2024-06-28 16:42:48,2.08,3.44,4.37,2.29
2024-06-28 16:42:51,2.09,3.47,4.41,2.29
2024-06-28 16:42:53,2.1,3.61,4.57,2.31
2024-06-28 16:42:55,2.24,3.67,4.78,2.46
2024-06-28 16:42:58,2.34,3.94,4.67,2.57
2024-06-28 16:43:00,2.4,3.96,4.76,2.64
2024-06-28 16:43:03,2.41,4.03,4.84,2.65
2024-06-28 16:43:05,2.42,4.1,4.92,2.66
2024-06-28 16:43:07,2.54,4.04,5.0,2.78
2024-06-28 16:43:10,2.61,4.12,5.17,2.87
2024-06-28 16:43:12,2.7,4.34,4.99,2.97
2024-06-28 16:43:15,2.73,4.08,5.27,3.0
2024-06-28 16:43:17,2.77,4.32,5.55,3.04
2024-06-28 16:43:19,2.76,4.3,5.53,3.04
2024-06-28 16:43:22,2.77,4.31,5.55,3.04
2024-06-28 16:43:24,2.82,4.26,5.57,3.11
2024-06-28 16:43:27,2.83,4.31,5.63,3.12
2024-06-28 16:43:29,2.81,4.17,5.48,3.1
2024-06-28 16:43:31,2.8,4.08,5.37,3.09
2024-06-28 16:43:34,2.76,4.29,5.55,3.06
2024-06-28 16:43:36,2.68,4.15,5.32,2.97
2024-06-28 16:43:39,2.64,4.34,4.97,2.93
2024-06-28 16:43:41,2.59,3.94,5.02,2.88
2024-06-28 16:43:43,2.5,3.72,5.19,2.78
2024-06-28 16:43:46,2.43,4.11,4.99,2.69
2024-06-28 16:43:48,2.27,3.9,4.6,2.52
2024-06-28 16:43:51,2.19,3.74,4.83,2.43
2024-06-28 16:43:53,2.06,3.26,4.71,2.29
2024-06-28 16:43:55,1.98,3.59,4.44,2.2
2024-06-28 16:43:58,1.94,3.33,4.64,2.16
2024-06-28 16:44:00,1.91,3.57,4.33,2.12
2024-06-28 16:44:03,1.9,3.49,4.25,2.11
2024-06-28 16:44:05,1.89,3.43,4.17,2.1
2024-06-28 16:44:07,1.89,3.44,4.18,2.1
2024-06-28 16:44:10,1.95,3.36,4.67,2.16
2024-06-28 16:44:12,1.99,3.2,4.56,2.21
2024-06-28 16:44:15,1.99,3.19,4.54,2.21
2024-06-28 16:44:17,2.03,3.5,4.41,2.25
2024-06-28 16:44:19,2.07,3.35,4.8,2.3
2024-06-28 16:44:22,2.12,3.72,4.73,2.35
2024-06-28 16:44:24,2.13,3.8,4.82,2.36
2024-06-28 16:44:27,2.11,3.66,4.66,2.34
2024-06-28 16:44:29,2.08,3.38,4.33,2.3
2024-06-28 16:44:31,2.02,3.47,4.35,2.24
2024-06-28 16:44:34,2.03,3.52,4.41,2.24
2024-06-28 16:44:36,2.05,3.65,4.56,2.26
2024-06-28 16:44:39,2.04,3.6,4.51,2.26
2024-06-28 16:44:41,2.02,3.41,4.28,2.23
2024-06-28 16:44:43,2.02,3.4,4.28,2.23
2024-06-28 16:44:46,1.96,3.49,4.31,2.17
2024-06-28 16:44:48,1.96,3.46,4.27,2.17
2024-06-28 16:44:51,1.92,3.14,4.41,2.12
2024-06-28 16:44:53,1.85,3.11,4.3,2.05
2024-06-28 16:44:55,1.82,3.37,4.52,2.02
2024-06-28 16:44:58,1.78,3.04,4.14,1.97
2024-06-28 16:45:00,1.75,3.3,4.34,1.92
2024-06-28 16:45:03,1.75,3.32,4.36,1.92
2024-06-28 16:45:05,1.74,3.27,4.31,1.92
2024-06-28 16:45:10,1.76,3.39,4.45,1.94
2024-06-28 16:45:12,1.77,2.96,4.04,1.95
2024-06-28 16:45:15,1.76,3.35,4.42,1.94
2024-06-28 16:45:17,1.77,2.93,4.02,1.96
2024-06-28 16:45:19,1.81,3.27,4.41,2.01
2024-06-28 16:45:22,1.83,3.39,4.06,2.03
2024-06-28 16:45:24,1.84,3.48,4.16,2.04
2024-06-28 16:45:27,1.83,3.4,4.08,2.03
2024-06-28 16:45:29,1.84,3.01,4.21,2.05
2024-06-28 16:45:31,1.85,3.12,4.32,2.06
2024-06-28 16:45:34,1.85,3.1,4.3,2.06
2024-06-28 16:45:36,1.84,3.0,4.19,2.05
2024-06-28 16:45:39,1.81,3.27,4.43,2.02
2024-06-28 16:45:41,1.91,3.53,4.3,2.13
2024-06-28 16:45:43,1.97,3.56,4.41,2.2
2024-06-28 16:45:46,1.99,3.18,4.55,2.22
2024-06-28 16:45:48,1.96,3.42,4.25,2.18
2024-06-28 16:45:51,1.93,3.25,4.55,2.15
2024-06-28 16:45:53,1.94,3.3,4.61,2.16
2024-06-28 16:45:55,1.96,3.46,4.29,2.18
2024-06-28 16:45:58,2.01,3.38,4.27,2.24
2024-06-28 16:46:00,2.06,3.25,4.71,2.3
2024-06-28 16:46:03,2.13,3.79,4.75,2.32
2024-06-28 16:46:05,2.19,3.8,4.8,2.36
2024-06-28 16:46:07,2.26,3.85,4.9,2.42
2024-06-28 16:46:10,2.28,3.54,4.62,2.45
2024-06-28 16:46:12,2.29,3.61,4.7,2.45
2024-06-28 16:46:15,2.29,3.64,4.75,2.47
2024-06-28 16:46:17,2.22,3.58,4.62,2.4
2024-06-28 16:46:19,2.17,3.63,4.62,2.35
2024-06-28 16:46:22,2.17,3.63,4.59,2.33
2024-06-28 16:46:24,2.15,3.53,4.45,2.3
2024-06-28 16:46:27,2.05,3.25,4.54,2.18
2024-06-28 16:46:29,2.05,3.22,4.51,2.18
2024-06-28 16:46:31,2.16,3.62,4.56,2.32
2024-06-28 16:46:34,2.24,3.69,4.73,2.4
2024-06-28 16:46:36,2.24,3.72,4.77,2.41
2024-06-28 16:46:38,2.2,3.42,4.45,2.39
2024-06-28 16:46:41,2.17,3.64,4.64,2.36
2024-06-28 16:46:43,2.05,3.7,4.58,2.24
2024-06-28 16:46:46,1.97,3.55,4.33,2.15
2024-06-28 16:46:48,1.96,3.48,4.27,2.15
2024-06-28 16:46:50,2.02,3.44,4.3,2.22
2024-06-28 16:46:53,2.11,3.66,4.64,2.33
2024-06-28 16:46:55,2.32,3.77,5.0,2.56
2024-06-28 16:46:58,2.46,3.9,4.81,2.73
2024-06-28 16:47:00,2.56,4.17,5.2,2.84
2024-06-28 16:47:02,2.63,4.23,5.37,2.93
2024-06-28 16:47:05,2.6,3.99,5.1,2.9
2024-06-28 16:47:07,2.64,4.29,5.45,2.95
2024-06-28 16:47:10,2.68,4.13,5.35,3.01
2024-06-28 16:47:12,2.78,4.36,5.2,3.12
2024-06-28 16:47:14,2.91,4.36,5.35,3.26
2024-06-28 16:47:17,3.06,4.54,5.72,3.43
