time,temperature,humidity,pressure,temperature2
2024-06-28 16:41:24,22,37,1015.8,21.6
2024-06-28 16:41:32,22,38,1015.8,21.6
2024-06-28 16:41:36,22,39,1015.8,21.6
2024-06-28 16:41:39,22,40,1015.8,21.7
2024-06-28 16:41:41,22,40,1015.9,21.7
2024-06-28 16:41:44,22,40,1015.8,21.7
2024-06-28 16:41:46,22,38,1015.8,21.7
2024-06-28 16:42:00,22,37,1015.8,21.7
2024-06-28 16:42:03,22,37,1015.7,21.7
2024-06-28 16:42:08,22,37,1015.8,21.7
2024-06-28 16:42:10,22,39,1015.7,21.7
2024-06-28 16:42:12,22,42,1015.7,21.8
2024-06-28 16:42:17,22,41,1015.7,21.8
2024-06-28 16:42:22,22,40,1015.7,21.8
2024-06-28 16:42:24,22,41,1015.6,21.8
2024-06-28 16:42:27,22,40,1015.7,21.8
2024-06-28 16:42:29,22,39,1015.7,21.8
2024-06-28 16:42:32,22,39,1015.8,21.9
2024-06-28 16:42:34,22,39,1015.7,21.9
2024-06-28 16:42:36,22,38,1015.7,21.9
2024-06-28 16:42:48,22,37,1015.8,21.9
2024-06-28 16:42:51,22,37,1015.7,21.9
2024-06-28 16:43:05,22,37,1015.6,21.9
2024-06-28 16:43:12,22,37,1015.6,21.8
2024-06-28 16:43:15,22,37,1015.7,21.9
2024-06-28 16:43:17,22,37,1015.6,21.9
2024-06-28 16:43:29,22,37,1015.7,21.9
2024-06-28 16:43:31,22,37,1015.6,21.8
2024-06-28 16:43:36,22,37,1015.7,21.8
2024-06-28 16:43:39,22,37,1015.6,21.8
2024-06-28 16:43:41,22,37,1015.7,21.8
2024-06-28 16:43:46,22,37,1015.6,21.8
2024-06-28 16:43:58,22,37,1015.7,21.8
2024-06-28 16:44:00,22,37,1015.6,21.8
2024-06-28 16:44:03,22,37,1015.7,21.8
2024-06-28 16:44:05,22,37,1015.7,21.7
2024-06-28 16:44:12,22,36,1015.7,21.7
2024-06-28 16:44:15,22,37,1015.8,21.7
2024-06-28 16:44:17,22,36,1015.7,21.7
2024-06-28 16:44:19,22,37,1015.7,21.7
2024-06-28 16:44:29,22,36,1015.7,21.7
2024-06-28 16:44:31,22,36,1015.6,21.7
2024-06-28 16:44:36,22,36,1015.7,21.6
2024-06-28 16:44:43,22,36,1015.6,21.6
2024-06-28 16:44:46,22,36,1015.7,21.6
2024-06-28 16:44:48,22,36,1015.6,21.6
2024-06-28 16:44:51,22,36,1015.6,21.5
