,time,pm_1,pm_25,pm_10,pm_4,temperature,humidity,pressure,temperature2,latitude,longitude,elevation
0,2024-05-24 19:14:11,6.53,8.19,8.92,6.9,,,,,,,
1,2024-05-24 19:14:13,6.62,8.43,9.26,7.0,26.0,36.0,1008.6,25.5,,,
2,2024-05-24 19:14:16,6.65,8.18,9.05,7.04,26.0,36.0,1008.7,25.5,,,
3,2024-05-24 19:14:18,6.56,8.42,9.17,6.93,26.0,36.0,1008.8,25.5,,,
4,2024-05-24 19:14:20,6.52,8.16,9.38,6.9,26.0,36.0,1008.7,25.5,,,
5,2024-05-24 19:14:23,6.44,8.01,9.14,6.81,,,,,,,
6,2024-05-24 19:14:25,6.34,8.19,8.71,6.7,,,,,,,
7,2024-05-24 19:14:28,6.3,7.9,8.87,6.66,,,,,,,
8,2024-05-24 19:14:30,6.26,8.07,9.0,6.62,,,,,,,
9,2024-05-24 19:14:32,6.27,7.68,9.13,6.64,,,,,,,
10,2024-05-24 19:14:35,6.44,7.98,9.11,6.81,,,,,,,
11,2024-05-24 19:14:37,6.49,7.88,9.07,6.86,,,,,,,
12,2024-05-24 19:14:40,6.42,7.8,8.9,6.78,,,,,,,
13,2024-05-24 19:14:42,6.27,7.65,9.09,6.63,,,,,,,
14,2024-05-24 19:14:44,6.14,7.64,8.93,6.5,,,,,,,
15,2024-05-24 19:14:47,5.89,7.63,8.65,6.23,26.0,36.0,1008.8,25.5,,,
16,2024-05-24 19:14:49,5.78,7.3,8.2,6.12,,,,,,,
17,2024-05-24 19:14:52,5.74,7.49,8.35,6.08,,,,,,,
18,2024-05-24 19:14:54,5.71,7.22,8.04,6.04,26.0,36.0,1008.7,25.5,,,
19,2024-05-24 19:14:56,5.65,7.23,7.98,5.97,26.0,36.0,1008.8,25.5,,,
20,2024-05-24 19:14:59,5.61,7.4,8.11,5.93,26.0,36.0,1008.7,25.5,,,
21,2024-05-24 19:15:01,5.51,7.14,8.24,5.83,,,,,,,
22,2024-05-24 19:15:04,5.42,6.96,7.96,5.74,,,,,,,
23,2024-05-24 19:15:06,5.42,6.88,7.88,5.73,,,,,,,
24,2024-05-24 19:15:08,5.39,7.18,8.14,5.7,,,,,,,
25,2024-05-24 19:15:11,5.37,7.04,7.98,5.68,,,,,,,
26,2024-05-24 19:15:13,5.43,6.99,8.0,5.74,,,,,,,
27,2024-05-24 19:15:16,5.59,7.28,7.97,5.91,,,,,,,
28,2024-05-24 19:15:18,5.67,7.42,8.2,6.0,,,,,,,
29,2024-05-24 19:15:20,5.73,7.38,8.22,6.06,,,,,,,
30,2024-05-24 19:15:23,5.87,7.49,8.49,6.21,,,,,,,
31,2024-05-24 19:15:25,5.96,7.67,8.76,6.3,26.0,36.0,1008.8,25.5,,,
32,2024-05-24 19:15:28,6.05,7.87,8.56,6.39,26.0,36.0,1008.7,25.5,,,
33,2024-05-24 19:15:30,6.08,7.66,8.89,6.43,26.0,36.0,1008.8,25.5,,,
34,2024-05-24 19:15:32,6.17,7.84,8.67,6.52,,,,,,,
35,2024-05-24 19:15:35,6.14,7.59,8.88,6.49,,,,,,,
36,2024-05-24 19:15:37,6.11,7.85,8.61,6.46,26.0,36.0,1008.7,25.5,,,
37,2024-05-24 19:15:40,6.03,7.72,8.39,6.37,,,,,,,
38,2024-05-24 19:15:42,5.92,7.41,8.46,6.26,26.0,36.0,1008.8,25.5,,,
39,2024-05-24 19:15:44,5.79,7.32,8.23,6.12,26.0,36.0,1008.7,25.5,,,
40,2024-05-24 19:15:47,5.76,7.11,8.49,6.09,,,,,,,
41,2024-05-24 19:15:49,5.73,7.37,8.22,6.06,,,,,,,
42,2024-05-24 19:15:52,5.81,7.5,8.43,6.14,26.0,36.0,1008.8,25.5,,,
43,2024-05-24 19:15:54,5.88,7.58,8.59,6.22,26.0,36.0,1008.7,25.5,,,
44,2024-05-24 19:15:56,5.95,7.58,8.66,6.29,,,,,,,
45,2024-05-24 19:15:59,6.0,7.5,8.64,6.34,26.0,36.0,1008.8,25.5,,,
46,2024-05-24 19:16:01,6.11,7.87,8.63,6.46,26.0,36.0,1008.7,25.5,,,
47,2024-05-24 19:16:04,6.18,7.92,8.75,6.53,,,,,,,
48,2024-05-24 19:16:06,6.22,7.76,8.65,6.58,,,,,,,
49,2024-05-24 19:16:08,6.18,7.94,8.78,6.54,,,,,,,
50,2024-05-24 19:16:11,6.12,7.95,8.73,6.47,,,,,,,
51,2024-05-24 19:16:13,6.07,7.55,8.77,6.42,,,,,,,
52,2024-05-24 19:16:16,5.94,7.51,8.59,6.28,25.0,37.0,1008.7,25.4,,,
53,2024-05-24 19:16:18,5.88,7.52,8.53,6.21,25.0,37.0,1008.6,25.4,,,
54,2024-05-24 19:16:20,5.82,7.6,8.55,6.16,25.0,37.0,1008.7,25.4,,,
55,2024-05-24 19:16:23,5.79,7.33,8.24,6.12,25.0,37.0,1008.6,25.4,,,
56,2024-05-24 19:16:25,5.76,7.14,8.52,6.1,25.0,37.0,1008.7,25.4,,,
57,2024-05-24 19:16:28,5.74,7.46,8.32,6.07,,,,,,,
58,2024-05-24 19:16:30,5.75,7.51,8.37,6.08,,,,,,,
59,2024-05-24 19:16:32,5.7,7.12,8.43,6.03,25.0,37.0,1008.6,25.4,,,
60,2024-05-24 19:16:35,5.64,7.17,8.42,5.97,,,,,,,
61,2024-05-24 19:16:37,5.61,7.38,8.09,5.93,25.0,37.0,1008.7,25.4,,,
62,2024-05-24 19:16:40,5.62,7.04,8.26,5.95,,,,,,,
63,2024-05-24 19:16:42,5.68,7.49,8.28,6.01,,,,,,,
64,2024-05-24 19:16:44,5.81,7.53,8.46,6.15,,,,,,,
65,2024-05-24 19:16:47,5.9,7.7,8.73,6.24,,,,,,,
66,2024-05-24 19:16:49,6.0,7.53,8.68,6.35,25.0,37.0,1008.6,25.4,,,
67,2024-05-24 19:16:52,6.08,7.66,8.89,6.43,25.0,37.0,1008.7,25.4,,,
68,2024-05-24 19:16:54,6.17,7.84,8.67,6.52,,,,,,,
69,2024-05-24 19:16:56,6.27,7.67,9.12,6.63,,,,,,,
70,2024-05-24 19:16:59,6.25,7.97,8.88,6.61,25.0,37.0,1008.7,25.3,,,
71,2024-05-24 19:17:01,6.29,7.77,8.72,6.65,25.0,38.0,1008.7,25.3,,,
72,2024-05-24 19:17:04,6.32,8.06,9.06,6.69,25.0,37.0,1008.7,25.3,,,
73,2024-05-24 19:17:06,6.38,8.03,9.09,6.75,,,,,,,
74,2024-05-24 19:17:08,6.39,8.08,9.15,6.76,,,,,,,
75,2024-05-24 19:17:11,6.42,7.85,8.96,6.79,,,,,,,
76,2024-05-24 19:17:13,6.48,8.3,8.97,6.85,,,,,,,
77,2024-05-24 19:17:16,6.62,8.39,9.21,7.0,25.0,38.0,1008.7,25.3,,,
78,2024-05-24 19:17:18,6.77,8.58,9.57,7.16,,,,,,,
79,2024-05-24 19:17:20,6.79,8.28,9.3,7.18,,,,,,,
80,2024-05-24 19:17:23,6.72,8.25,9.19,7.11,25.0,37.0,1008.7,25.3,,,
81,2024-05-24 19:17:25,6.53,8.2,8.93,6.9,,,,,,,
82,2024-05-24 19:17:28,6.42,7.84,8.95,6.79,,,,,,,
83,2024-05-24 19:17:30,6.41,8.22,8.81,6.77,,,,,,,
84,2024-05-24 19:17:32,6.36,7.84,8.87,6.72,25.0,37.0,1008.7,25.2,,,
85,2024-05-24 19:17:35,6.27,7.63,9.07,6.63,,,,,,,
86,2024-05-24 19:17:37,6.25,7.98,8.9,6.61,25.0,37.0,1008.6,25.2,,,
87,2024-05-24 19:17:40,6.3,7.88,8.86,6.66,25.0,37.0,1008.7,25.2,,,
88,2024-05-24 19:17:42,6.4,8.16,9.24,6.77,,,,,,,
89,2024-05-24 19:17:44,6.48,8.33,9.0,6.86,,,,,,,
90,2024-05-24 19:17:47,6.48,8.28,8.95,6.85,,,,,,,
91,2024-05-24 19:17:49,6.54,8.28,9.02,6.92,25.0,37.0,1008.6,25.2,,,
92,2024-05-24 19:17:52,6.56,7.96,9.23,6.94,25.0,37.0,1008.7,25.2,,,
93,2024-05-24 19:17:54,6.6,8.23,9.03,6.98,25.0,37.0,1008.6,25.2,,,
94,2024-05-24 19:17:56,6.65,8.11,9.47,7.03,25.0,38.0,1008.7,25.2,,,
95,2024-05-24 19:17:59,6.59,8.18,8.98,6.97,25.0,38.0,1008.6,25.2,,,
96,2024-05-24 19:18:01,6.55,8.33,9.07,6.92,25.0,38.0,1008.7,25.1,,,
97,2024-05-24 19:18:04,6.6,8.28,9.08,6.98,,,,,,,
98,2024-05-24 19:18:06,6.63,8.03,9.37,7.02,25.0,38.0,1008.6,25.1,,,
99,2024-05-24 19:18:08,6.6,8.29,9.1,6.98,25.0,38.0,1008.7,25.1,,,
100,2024-05-24 19:18:11,6.57,8.02,9.29,6.95,,,,,,,
101,2024-05-24 19:18:13,6.47,8.23,8.9,6.84,,,,,,,
102,2024-05-24 19:18:16,6.49,7.91,9.09,6.87,25.0,38.0,1008.6,25.1,,,
103,2024-05-24 19:18:18,6.61,8.34,9.16,6.99,25.0,38.0,1008.8,25.1,,,
104,2024-05-24 19:18:20,6.66,8.21,9.08,7.04,25.0,38.0,1008.7,25.1,,,
105,2024-05-24 19:18:23,6.71,8.1,9.52,7.09,,,,,,,
106,2024-05-24 19:18:25,6.67,8.3,9.19,7.05,,,,,,,
107,2024-05-24 19:18:28,6.66,8.23,9.1,7.04,,,,,,,
108,2024-05-24 19:18:30,6.66,8.25,9.13,7.05,,,,,,,
109,2024-05-24 19:18:32,6.65,8.15,9.51,7.03,25.0,38.0,1008.6,25.1,,,
110,2024-05-24 19:18:35,6.59,8.15,9.44,6.96,25.0,37.0,1008.6,25.0,,,
111,2024-05-24 19:18:37,6.52,8.16,9.38,6.9,,,,,,,
112,2024-05-24 19:18:40,6.48,8.33,9.0,6.86,25.0,38.0,1008.7,25.0,,,
113,2024-05-24 19:18:42,6.35,7.75,8.77,6.71,25.0,38.0,1008.6,25.0,,,
114,2024-05-24 19:18:44,6.21,7.69,9.07,6.57,25.0,37.0,1008.7,25.0,,,
115,2024-05-24 19:18:47,6.11,7.9,8.66,6.46,,,,,,,
116,2024-05-24 19:18:49,6.06,7.46,8.66,6.4,,,,,,,
117,2024-05-24 19:18:52,6.01,7.62,8.78,6.36,25.0,37.0,1008.6,25.0,,,
118,2024-05-24 19:18:54,6.0,7.53,8.68,6.35,25.0,37.0,1008.7,25.0,,,
119,2024-05-24 19:18:56,5.98,7.36,8.48,6.32,,,,,,,
120,2024-05-24 19:18:59,6.0,7.54,8.69,6.35,,,,,,,
121,2024-05-24 19:19:01,6.06,7.5,8.71,6.41,25.0,37.0,1008.7,24.9,,,
122,2024-05-24 19:19:04,6.14,7.61,8.9,6.49,,,,,,,
123,2024-05-24 19:19:06,6.24,7.91,8.82,6.6,,,,,,,
124,2024-05-24 19:19:08,6.32,8.01,9.0,6.68,,,,,,,
125,2024-05-24 19:19:11,6.28,7.71,8.66,6.64,,,,,,,
126,2024-05-24 19:19:13,6.17,7.86,8.69,6.53,,,,,,,
127,2024-05-24 19:19:16,6.11,7.89,8.66,6.46,,,,,,,
128,2024-05-24 19:19:18,5.93,7.45,8.51,6.27,,,,,,,
129,2024-05-24 19:19:20,5.82,7.6,8.54,6.16,25.0,37.0,1008.8,24.9,,,
130,2024-05-24 19:19:23,5.73,7.41,8.26,6.06,,,,,,,
131,2024-05-24 19:19:25,5.72,7.33,8.17,6.05,25.0,37.0,1008.7,24.9,,,
132,2024-05-24 19:19:28,5.76,7.14,8.52,6.1,,,,,,,
133,2024-05-24 19:19:30,5.84,7.27,8.24,6.18,,,,,,,
134,2024-05-24 19:19:32,5.95,7.63,8.72,6.29,25.0,37.0,1008.7,24.8,,,
135,2024-05-24 19:19:35,6.13,7.53,8.81,6.48,,,,,,,
136,2024-05-24 19:19:37,6.27,8.12,9.05,6.63,,,,,,,
137,2024-05-24 19:19:39,6.48,8.29,8.96,6.85,,,,,,,
138,2024-05-24 19:19:42,6.67,8.29,9.17,7.05,,,,,,,
139,2024-05-24 19:19:44,6.83,8.56,9.62,7.22,25.0,38.0,1008.7,24.8,,,
140,2024-05-24 19:19:47,6.95,8.53,9.72,7.35,,,,,,,
141,2024-05-24 19:19:49,6.96,8.58,9.78,7.36,25.0,37.0,1008.7,24.8,,,
142,2024-05-24 19:19:51,6.93,8.38,9.55,7.33,,,,,,,
143,2024-05-24 19:19:54,6.96,8.64,9.84,7.36,,,,,,,
144,2024-05-24 19:19:56,6.94,8.44,9.62,7.34,,,,,,,
145,2024-05-24 19:19:59,6.76,8.53,9.52,7.15,,,,,,,
146,2024-05-24 19:20:01,6.69,8.45,9.35,7.07,,,,,,,
147,2024-05-24 19:20:03,6.57,8.05,9.33,6.95,,,,,,,
148,2024-05-24 19:20:06,6.57,8.04,9.32,6.95,25.0,37.0,1008.7,24.7,,,
149,2024-05-24 19:20:08,6.52,8.1,9.31,6.89,25.0,37.0,1008.8,24.7,,,
150,2024-05-24 19:20:11,6.45,8.08,9.22,6.82,25.0,37.0,1008.7,24.7,,,
151,2024-05-24 19:20:13,6.43,7.95,9.07,6.81,,,,,,,
152,2024-05-24 19:20:15,6.48,8.31,8.98,6.85,,,,,,,
153,2024-05-24 19:20:18,6.53,8.21,8.94,6.91,25.0,37.0,1008.6,24.7,,,
154,2024-05-24 19:20:20,6.5,7.93,9.12,6.87,25.0,37.0,1008.7,24.7,,,
155,2024-05-24 19:20:23,6.49,7.89,9.08,6.86,,,,,,,
156,2024-05-24 19:20:25,6.45,8.07,9.21,6.82,,,,,,,
157,2024-05-24 19:20:27,6.35,7.77,8.79,6.71,,,,,,,
158,2024-05-24 19:20:30,6.3,7.87,8.84,6.66,25.0,38.0,1008.7,24.7,,,
159,2024-05-24 19:20:32,6.29,7.79,8.75,6.65,25.0,37.0,1008.7,24.7,,,
160,2024-05-24 19:20:35,6.46,8.14,9.28,6.83,25.0,38.0,1008.7,24.7,,,
161,2024-05-24 19:20:37,6.56,8.43,9.18,6.94,25.0,38.0,1008.7,24.6,,,
162,2024-05-24 19:20:39,6.77,8.59,9.58,7.16,,,,,,,
163,2024-05-24 19:20:42,6.81,8.4,9.44,7.2,,,,,,,
164,2024-05-24 19:20:44,6.85,8.25,9.33,7.25,,,,,,,
165,2024-05-24 19:20:47,6.86,8.35,9.45,7.26,,,,,,,
166,2024-05-24 19:20:49,6.9,8.64,9.78,7.3,,,,,,,
167,2024-05-24 19:20:51,7.0,8.44,9.69,7.4,25.0,38.0,1008.6,24.6,,,
168,2024-05-24 19:20:54,7.03,8.69,9.47,7.44,25.0,38.0,1008.7,24.6,,,
169,2024-05-24 19:20:56,7.07,8.96,9.78,7.47,25.0,38.0,1008.6,24.6,,,
170,2024-05-24 19:20:59,7.01,8.5,9.76,7.41,25.0,38.0,1008.7,24.6,,,
171,2024-05-24 19:21:01,6.94,8.46,9.65,7.34,,,,,,,
172,2024-05-24 19:21:04,6.88,8.47,9.59,7.28,,,,,,,
173,2024-05-24 19:21:06,6.86,8.3,9.39,7.25,,,,,,,
174,2024-05-24 19:21:08,6.81,8.39,9.43,7.2,,,,,,,
175,2024-05-24 19:21:11,6.78,8.17,9.17,7.17,25.0,38.0,1008.7,24.5,,,
176,2024-05-24 19:21:13,6.76,8.5,9.48,7.15,,,,,,,
177,2024-05-24 19:21:15,6.81,8.41,9.45,7.2,,,,,,,
178,2024-05-24 19:21:18,6.81,8.44,9.48,7.2,,,,,,,
179,2024-05-24 19:21:20,6.76,8.52,9.5,7.15,,,,,,,
180,2024-05-24 19:21:25,6.76,8.55,9.54,7.15,25.0,38.0,1008.7,24.5,,,
181,2024-05-24 19:21:27,6.75,8.44,9.41,7.14,25.0,38.0,1008.8,24.5,,,
182,2024-05-24 19:21:30,6.68,8.38,9.27,7.06,25.0,38.0,1008.7,24.5,,,
183,2024-05-24 19:21:32,6.57,8.03,9.3,6.95,,,,,,,
184,2024-05-24 19:21:35,6.54,8.25,8.98,6.91,25.0,38.0,1008.6,24.5,,,
185,2024-05-24 19:21:37,6.49,7.92,9.11,6.87,25.0,38.0,1008.7,24.5,,,
186,2024-05-24 19:21:39,6.46,8.17,9.32,6.83,,,,,,,
187,2024-05-24 19:21:42,6.51,8.02,9.22,6.88,,,,,,,
188,2024-05-24 19:21:44,6.55,8.37,9.12,6.93,,,,,,,
189,2024-05-24 19:21:47,6.61,8.33,9.15,6.99,24.0,40.0,1008.7,24.4,,,
190,2024-05-24 19:21:49,6.58,8.1,9.39,6.96,,,,,,,
191,2024-05-24 19:21:51,6.45,8.09,9.23,6.82,,,,,,,
192,2024-05-24 19:21:54,6.45,8.05,9.19,6.82,,,,,,,
193,2024-05-24 19:21:56,6.47,8.24,8.91,6.84,,,,,,,
194,2024-05-24 19:21:59,6.5,7.97,9.17,6.87,,,,,,,
195,2024-05-24 19:22:01,6.51,8.04,9.25,6.88,,,,,,,
196,2024-05-24 19:22:04,6.5,7.98,9.18,6.88,,,,,,,
197,2024-05-24 19:22:06,6.44,8.0,9.13,6.81,,,,,,,
198,2024-05-24 19:22:08,6.35,7.81,8.84,6.72,24.0,39.0,1008.7,24.4,,,
