,time,pm_1,pm_25,pm_10,pm_4,temperature,humidity,pressure,temperature2,latitude,longitude,elevation
0,2024-05-24 20:28:01,482,619,753,510,,,,,,,
1,2024-05-24 20:28:03,479,642,722,506,18.0,50.0,101640.0,1750.0,,,
2,2024-05-24 20:28:05,475,610,736,502,18.0,51.0,101630.0,1750.0,,,
3,2024-05-24 20:28:08,472,641,714,500,18.0,51.0,101630.0,1751.111111111111,,,
4,2024-05-24 20:28:10,464,625,739,491,18.0,51.0,101630.0,1752.2222222222222,,,
5,2024-05-24 20:28:13,447,591,686,473,18.0,51.0,101630.0,1753.3333333333333,,,
6,2024-05-24 20:28:15,444,614,706,469,18.0,51.0,101630.0,1754.4444444444443,,,
7,2024-05-24 20:28:17,452,584,685,478,18.0,51.0,101630.0,1755.5555555555557,,,
8,2024-05-24 20:28:20,457,619,725,483,18.0,51.0,101630.0,1756.6666666666667,,,
9,2024-05-24 20:28:22,458,629,686,485,18.0,51.0,101630.0,1757.7777777777778,,,
10,2024-05-24 20:28:25,455,604,708,481,18.0,51.0,101630.0,1758.888888888889,,,
11,2024-05-24 20:28:27,455,606,710,481,18.0,51.0,101630.0,1760.0,,,
12,2024-05-24 20:28:29,460,595,704,487,18.0,51.0,101633.33333333333,1760.0,,,
13,2024-05-24 20:28:32,469,614,733,496,18.0,51.0,101636.66666666667,1760.0,,,
14,2024-05-24 20:28:34,487,656,745,515,18.0,51.0,101640.0,1760.0,,,
15,2024-05-24 20:28:37,496,625,774,524,18.0,51.0,101630.0,1760.0,,,
16,2024-05-24 20:28:39,496,631,730,525,18.0,51.0,101620.0,1760.0,,,
17,2024-05-24 20:28:42,495,669,767,523,18.0,51.0,101625.0,1760.0,,,
18,2024-05-24 20:28:44,494,660,757,522,18.0,51.0,101630.0,1760.0,,,
19,2024-05-24 20:28:46,493,653,749,521,18.0,52.0,101620.0,1760.0,,,
20,2024-05-24 20:28:49,495,666,764,523,18.0,52.0,101630.0,1760.0,,,
21,2024-05-24 20:28:51,499,653,755,528,18.0,52.0,101632.0,1762.0,,,
22,2024-05-24 20:28:53,514,667,786,543,18.0,52.0,101634.0,1764.0,,,
23,2024-05-24 20:28:56,524,697,777,554,18.0,52.0,101636.0,1766.0,,,
24,2024-05-24 20:28:58,548,693,801,580,18.0,52.0,101638.0,1768.0,,,
25,2024-05-24 20:29:01,558,718,835,590,18.0,52.0,101640.0,1770.0,,,
