,time,pm_1,pm_25,pm_10,pm_4,temperature,humidity,pressure,temperature2,latitude,longitude,elevation
0,2024-06-09 12:39:52,2.66,4.11,5.06,2.82,15.0,39.0,1013.4,15.1,,,
1,2024-06-09 12:39:55,2.63,3.88,4.8,2.79,15.0,39.0,1013.3,15.1,,,
2,2024-06-09 12:39:57,2.62,4.27,5.17,2.77,,,,,,,
3,2024-06-09 12:39:59,2.55,3.74,5.07,2.7,,,,,,,
4,2024-06-09 12:40:02,2.56,3.75,5.09,2.7,15.0,39.0,1013.3,15.2,,,
5,2024-06-09 12:40:04,2.55,4.19,5.01,2.69,,,,,51.46466388132048,-0.01653618301014,9.661756355315447
6,2024-06-09 12:40:07,2.52,4.0,4.79,2.67,,,,,,,
7,2024-06-09 12:40:09,2.48,3.65,4.9,2.62,15.0,39.0,1013.2,15.2,,,
8,2024-06-09 12:40:11,2.46,3.97,4.69,2.6,15.0,39.0,1013.3,15.2,,,
9,2024-06-09 12:40:14,2.41,3.61,4.78,2.55,15.0,39.0,1013.4,15.2,,,
10,2024-06-09 12:40:16,2.52,3.95,4.74,2.66,15.0,39.0,1013.3,15.2,,,
11,2024-06-09 12:40:19,2.74,4.18,5.21,2.89,,,,,,,
12,2024-06-09 12:40:21,2.99,4.18,5.49,3.16,,,,,,,
13,2024-06-09 12:40:23,3.11,4.64,5.59,3.29,,,,,51.464705193944155,-0.016687681043194,10.562241468578577
14,2024-06-09 12:40:26,3.22,4.5,5.57,3.4,,,,,,,
15,2024-06-09 12:40:28,3.33,4.89,5.58,3.52,15.0,39.0,1013.2,15.2,,,
16,2024-06-09 12:40:31,3.4,4.91,5.67,3.59,15.0,39.0,1013.3,15.2,51.46470152975259,-0.016676757108066,10.846940007060766
17,2024-06-09 12:40:33,3.44,4.73,6.04,3.64,,,,,51.46471217350589,-0.016638962493514,10.270175919868052
18,2024-06-09 12:40:35,3.44,4.73,6.03,3.63,15.0,39.0,1013.4,14.9,,,
19,2024-06-09 12:40:38,3.43,4.64,5.93,3.62,,,,,51.46468421596677,-0.016552664145631,9.78537741675973
20,2024-06-09 12:40:40,3.5,4.76,6.14,3.71,15.0,39.0,1013.4,15.0,,,
21,2024-06-09 12:40:43,3.55,5.09,6.02,3.75,15.0,39.0,1013.3,15.1,51.464640365853136,-0.016491762505535,9.383198262192309
22,2024-06-09 12:40:45,3.53,4.95,5.86,3.73,,,,,51.464624224451406,-0.016469329973331,9.444352935999632
23,2024-06-09 12:40:47,3.51,4.84,5.73,3.72,15.0,39.0,1013.4,15.1,51.464611339217335,-0.016448791510138,9.013445136137307
24,2024-06-09 12:40:50,3.49,5.12,5.98,3.69,15.0,39.0,1013.3,15.1,,,
25,2024-06-09 12:40:52,3.51,4.77,6.15,3.71,15.0,39.0,1013.4,15.1,51.464566078485966,-0.01638514065397,8.777901425026357
26,2024-06-09 12:40:55,3.53,5.0,5.91,3.74,15.0,39.0,1013.3,15.1,,,
27,2024-06-09 12:40:57,3.5,4.74,6.12,3.7,15.0,39.0,1013.4,15.1,51.464531278485744,-0.016291356063521,10.126773216761649
28,2024-06-09 12:40:59,3.45,4.82,6.14,3.65,,,,,51.46451634825622,-0.016271773498283,8.793027225881815
29,2024-06-09 12:41:02,3.39,4.84,5.59,3.58,15.0,39.0,1013.3,15.1,51.46451209984531,-0.01623722250671,8.527578662149608
30,2024-06-09 12:41:02,3.39,4.84,5.59,3.58,15.0,39.0,1013.3,15.1,51.46459470468978,-0.015995112819443,8.793432303704321
31,2024-06-09 12:41:04,3.28,4.52,5.66,3.47,15.0,39.0,1013.4,15.1,51.464519064929135,-0.016235621281408,8.416066854260862
32,2024-06-09 12:41:04,3.28,4.52,5.66,3.47,15.0,39.0,1013.4,15.1,51.464509748357216,-0.015595405119474,9.322027464397252
33,2024-06-09 12:41:07,3.19,4.81,5.85,3.38,,,,,51.46453379097178,-0.016180794800906,7.717000280506909
34,2024-06-09 12:41:09,3.06,4.73,5.61,3.23,15.0,39.0,1013.3,15.1,,,
35,2024-06-09 12:41:11,3.05,4.67,5.55,3.23,15.0,39.0,1013.4,15.1,51.46452674341911,-0.016130222268043,8.764071420766413
