,time,pm_1,pm_25,pm_10,pm_4,temperature,humidity,pressure,temperature2,latitude,longitude,elevation
0,2024-06-17 16:58:16,1.11,2.33,3.56,1.18,22.0,31.0,1011.6,22.0,,,
1,2024-06-17 16:58:19,1.14,2.59,3.36,1.21,22.0,31.0,1011.7,22.0,,,
2,2024-06-17 16:58:21,1.19,2.48,3.3,1.26,22.0,31.0,1011.6,22.0,,,
3,2024-06-17 16:58:23,1.22,2.7,3.55,1.29,22.0,31.0,1011.7,22.0,,,
4,2024-06-17 16:58:26,1.21,2.63,3.47,1.28,22.0,31.0,1011.6,22.0,,,
5,2024-06-17 16:58:28,1.22,2.66,3.51,1.29,,,,,,,
6,2024-06-17 16:58:31,1.2,2.56,3.39,1.27,22.0,31.0,1011.6,22.1,,,
7,2024-06-17 16:58:33,1.23,2.73,3.59,1.3,22.0,31.0,1011.7,22.1,,,
8,2024-06-17 16:58:35,1.2,2.53,3.36,1.27,22.0,31.0,1011.6,22.1,51.46465928005447,-0.016025684619209,11.354514070786536
9,2024-06-17 16:58:38,1.15,2.65,3.43,1.22,,,,,51.4646634211463,-0.01601465845843633,11.449623983042935
10,2024-06-17 16:58:40,1.1,2.26,3.48,1.17,22.0,32.0,1011.6,22.1,51.46466756223812,-0.01600363229766367,11.544733895299336
11,2024-06-17 16:58:43,1.04,2.29,3.45,1.1,22.0,31.0,1011.7,22.2,51.46467170332995,-0.015992606136891,11.639843807555735
12,2024-06-17 16:58:45,1.04,2.23,3.38,1.1,,,,,51.464663391612554,-0.016005807272137,11.45578745380044
13,2024-06-17 16:58:47,1.05,2.32,3.48,1.11,22.0,32.0,1011.6,22.2,51.46466501561675,-0.016008976463411,11.257608272135258
14,2024-06-17 16:58:50,1.03,2.17,3.31,1.09,22.0,32.0,1011.7,22.2,51.46465753017615,-0.0160095842661635,11.08453703392297
15,2024-06-17 16:58:52,1.0,2.42,3.52,1.05,22.0,31.0,1011.6,22.3,51.46465004473554,-0.016010192068916,10.911465795710683
16,2024-06-17 16:58:55,1.0,2.07,3.13,1.01,,,,,51.46464121080482,-0.015993842624973,10.030734784901142
17,2024-06-17 16:58:57,1.0,2.28,3.3,1.0,22.0,32.0,1011.6,22.3,51.464636750776144,-0.01599178656694567,10.19702961978813
18,2024-06-17 16:58:59,1.0,2.2,3.21,1.0,,,,,51.46463229074746,-0.01598973050891833,10.363324454675118
19,2024-06-17 16:59:02,1.0,2.38,3.41,1.0,22.0,31.0,1011.6,22.4,51.46462783071878,-0.015987674450891,10.529619289562106
20,2024-06-17 16:59:02,1.0,2.38,3.41,1.0,22.0,31.0,1011.6,22.4,51.464628151782556,-0.015967165564301,11.372696524485946
21,2024-06-17 16:59:04,1.0,2.07,3.12,1.01,,,,,51.46461480750963,-0.015984292600718,10.787648778408766
22,2024-06-17 16:59:04,1.0,2.07,3.12,1.01,,,,,51.46463573224526,-0.015974603155994,11.76391382329166
23,2024-06-17 16:59:07,1.0,2.35,3.45,1.04,22.0,32.0,1011.6,22.4,51.46462728910137,-0.01598318878062,11.492352840024978
