,Air measurement,Tree number_x,Air-tree ID,Distance to tree,objectid,lat,lon,Tree within d (default: 20m),borough,gla_tree_group,tree_name,taxon_name,age,age_group,spread_m,height_m,diameter_at_breast_height_cm,gdb_geomattr_data,load_date,updated
0,44,2,44_2,19.52315581417472,78003,51.47522209584729,-0.0386001020668514,True,Lewisham,Other,Tulip-tree,,1  Mature,Mature(31-80),2.2,6.1,9.5,,20201127,20210218
1,45,2,45_2,18.772735600224735,78003,51.47522209584729,-0.0386001020668514,True,Lewisham,Other,Tulip-tree,,1  Mature,Mature(31-80),2.2,6.1,9.5,,20201127,20210218
7,58,625,58_625,5.540897049978767,642948,51.475590899586834,-0.0377369001507899,True,TFL,Whitebeam,Rowan,Sorbus aucuparia,,Unknown,,,,,20180214,20210218
8,62,625,62_625,19.00952315609993,642948,51.475590899586834,-0.0377369001507899,True,TFL,Whitebeam,Rowan,Sorbus aucuparia,,Unknown,,,,,20180214,20210218
9,63,625,63_625,15.22492057896874,642948,51.475590899586834,-0.0377369001507899,True,TFL,Whitebeam,Rowan,Sorbus aucuparia,,Unknown,,,,,20180214,20210218
10,64,625,64_625,11.512712349895727,642948,51.475590899586834,-0.0377369001507899,True,TFL,Whitebeam,Rowan,Sorbus aucuparia,,Unknown,,,,,20180214,20210218
11,65,625,65_625,8.46114217617584,642948,51.475590899586834,-0.0377369001507899,True,TFL,Whitebeam,Rowan,Sorbus aucuparia,,Unknown,,,,,20180214,20210218
12,66,625,66_625,5.530328968554684,642948,51.475590899586834,-0.0377369001507899,True,TFL,Whitebeam,Rowan,Sorbus aucuparia,,Unknown,,,,,20180214,20210218
13,67,625,67_625,3.085995732238563,642948,51.475590899586834,-0.0377369001507899,True,TFL,Whitebeam,Rowan,Sorbus aucuparia,,Unknown,,,,,20180214,20210218
14,68,625,68_625,2.8995533603310024,642948,51.475590899586834,-0.0377369001507899,True,TFL,Whitebeam,Rowan,Sorbus aucuparia,,Unknown,,,,,20180214,20210218
15,69,625,69_625,5.218874195345468,642948,51.475590899586834,-0.0377369001507899,True,TFL,Whitebeam,Rowan,Sorbus aucuparia,,Unknown,,,,,20180214,20210218
16,70,625,70_625,8.12471990146827,642948,51.475590899586834,-0.0377369001507899,True,TFL,Whitebeam,Rowan,Sorbus aucuparia,,Unknown,,,,,20180214,20210218
17,71,625,71_625,11.127806171823767,642948,51.475590899586834,-0.0377369001507899,True,TFL,Whitebeam,Rowan,Sorbus aucuparia,,Unknown,,,,,20180214,20210218
18,72,625,72_625,14.195678832424521,642948,51.475590899586834,-0.0377369001507899,True,TFL,Whitebeam,Rowan,Sorbus aucuparia,,Unknown,,,,,20180214,20210218
19,73,625,73_625,17.293893313677327,642948,51.475590899586834,-0.0377369001507899,True,TFL,Whitebeam,Rowan,Sorbus aucuparia,,Unknown,,,,,20180214,20210218
25,84,372,84_372,19.70411300267532,271647,51.47587829828275,-0.0369735062122264,True,Lewisham,Plane,Plane,Platanus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
26,125,624,125_624,18.90616999432187,642947,51.47578889876616,-0.0348972007631035,True,TFL,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
46,126,80,126_80,19.222223774191974,70227,51.47577099502102,-0.0348612070083751,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),3.0,5.0,5.8,,20201127,20210218
27,126,624,126_624,16.66482127649448,642947,51.47578889876616,-0.0348972007631035,True,TFL,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
28,127,624,127_624,13.757559909524506,642947,51.47578889876616,-0.0348972007631035,True,TFL,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
47,127,80,127_80,16.213842851883726,70227,51.47577099502102,-0.0348612070083751,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),3.0,5.0,5.8,,20201127,20210218
48,128,80,128_80,13.179531417879835,70227,51.47577099502102,-0.0348612070083751,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),3.0,5.0,5.8,,20201127,20210218
29,128,624,128_624,10.497042626698454,642947,51.47578889876616,-0.0348972007631035,True,TFL,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
49,129,80,129_80,10.462097449880076,70227,51.47577099502102,-0.0348612070083751,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),3.0,5.0,5.8,,20201127,20210218
30,129,624,129_624,7.4866161939738705,642947,51.47578889876616,-0.0348972007631035,True,TFL,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
50,130,80,130_80,7.737139149329036,70227,51.47577099502102,-0.0348612070083751,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),3.0,5.0,5.8,,20201127,20210218
31,130,624,130_624,4.543369245422965,642947,51.47578889876616,-0.0348972007631035,True,TFL,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
65,130,85,130_85,19.34231974350105,74814,51.47578579932462,-0.0346733033656408,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),3.9,5.5,9.5,,20201127,20210218
66,131,85,131_85,15.936271917151517,74814,51.47578579932462,-0.0346733033656408,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),3.9,5.5,9.5,,20201127,20210218
32,131,624,131_624,3.9444491051144754,642947,51.47578889876616,-0.0348972007631035,True,TFL,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
51,131,80,131_80,6.37141060196249,70227,51.47577099502102,-0.0348612070083751,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),3.0,5.0,5.8,,20201127,20210218
67,132,85,132_85,12.900451485665034,74814,51.47578579932462,-0.0346733033656408,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),3.9,5.5,9.5,,20201127,20210218
52,132,80,132_80,5.808597208835222,70227,51.47577099502102,-0.0348612070083751,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),3.0,5.0,5.8,,20201127,20210218
33,132,624,132_624,4.999156862689261,642947,51.47578889876616,-0.0348972007631035,True,TFL,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
68,133,85,133_85,9.919954801024982,74814,51.47578579932462,-0.0346733033656408,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),3.9,5.5,9.5,,20201127,20210218
34,133,624,133_624,7.345164006799765,642947,51.47578889876616,-0.0348972007631035,True,TFL,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
53,133,80,133_80,6.812614101468144,70227,51.47577099502102,-0.0348612070083751,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),3.0,5.0,5.8,,20201127,20210218
54,134,80,134_80,8.737268307250227,70227,51.47577099502102,-0.0348612070083751,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),3.0,5.0,5.8,,20201127,20210218
35,134,624,134_624,9.567580938167907,642947,51.47578889876616,-0.0348972007631035,True,TFL,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
69,134,85,134_85,8.399766143968403,74814,51.47578579932462,-0.0346733033656408,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),3.9,5.5,9.5,,20201127,20210218
36,135,624,135_624,13.061328552402347,642947,51.47578889876616,-0.0348972007631035,True,TFL,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
55,135,80,135_80,11.931222430720323,70227,51.47577099502102,-0.0348612070083751,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),3.0,5.0,5.8,,20201127,20210218
70,135,85,135_85,6.690046748249401,74814,51.47578579932462,-0.0346733033656408,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),3.9,5.5,9.5,,20201127,20210218
56,136,80,136_80,15.636392902229515,70227,51.47577099502102,-0.0348612070083751,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),3.0,5.0,5.8,,20201127,20210218
71,136,85,136_85,6.0417096718662915,74814,51.47578579932462,-0.0346733033656408,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),3.9,5.5,9.5,,20201127,20210218
37,136,624,136_624,17.09402425897683,642947,51.47578889876616,-0.0348972007631035,True,TFL,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
72,137,85,137_85,7.977368588615219,74814,51.47578579932462,-0.0346733033656408,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),3.9,5.5,9.5,,20201127,20210218
57,137,80,137_80,19.545590720102627,70227,51.47577099502102,-0.0348612070083751,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),3.0,5.0,5.8,,20201127,20210218
73,138,85,138_85,11.430469688511911,74814,51.47578579932462,-0.0346733033656408,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),3.9,5.5,9.5,,20201127,20210218
74,139,85,139_85,13.230311766996127,74814,51.47578579932462,-0.0346733033656408,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),3.9,5.5,9.5,,20201127,20210218
75,140,85,140_85,16.872671497960155,74814,51.47578579932462,-0.0346733033656408,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),3.9,5.5,9.5,,20201127,20210218
85,150,336,150_336,19.45049291165437,269096,51.476177096367024,-0.0344117060303854,True,Lewisham,Maple,Maple,Acer,1  Mature,Mature(31-80),,,,,20201127,20210218
86,151,336,151_336,13.982919253111156,269096,51.476177096367024,-0.0344117060303854,True,Lewisham,Maple,Maple,Acer,1  Mature,Mature(31-80),,,,,20201127,20210218
87,152,336,152_336,12.074936529564624,269096,51.476177096367024,-0.0344117060303854,True,Lewisham,Maple,Maple,Acer,1  Mature,Mature(31-80),,,,,20201127,20210218
102,152,25,152_25,18.717547319523185,258518,51.47617879509932,-0.034512400627148,True,Lewisham,Other,Sweet Gum,,1  Young,Young(0-15),,,,,20201127,20210218
111,153,541,153_541,17.50390299275809,280857,51.47630249708897,-0.03437750041478,True,Lewisham,Whitebeam,Whitebeam,Sorbus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
103,153,25,153_25,18.06310096999869,258518,51.47617879509932,-0.034512400627148,True,Lewisham,Other,Sweet Gum,,1  Young,Young(0-15),,,,,20201127,20210218
88,153,336,153_336,11.095002551501738,269096,51.476177096367024,-0.0344117060303854,True,Lewisham,Maple,Maple,Acer,1  Mature,Mature(31-80),,,,,20201127,20210218
104,154,25,154_25,18.499620082817714,258518,51.47617879509932,-0.034512400627148,True,Lewisham,Other,Sweet Gum,,1  Young,Young(0-15),,,,,20201127,20210218
89,154,336,154_336,11.604413066365815,269096,51.476177096367024,-0.0344117060303854,True,Lewisham,Maple,Maple,Acer,1  Mature,Mature(31-80),,,,,20201127,20210218
112,154,541,154_541,14.985250788849843,280857,51.47630249708897,-0.03437750041478,True,Lewisham,Whitebeam,Whitebeam,Sorbus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
105,155,25,155_25,19.39081495703788,258518,51.47617879509932,-0.034512400627148,True,Lewisham,Other,Sweet Gum,,1  Young,Young(0-15),,,,,20201127,20210218
90,155,336,155_336,12.754378808429385,269096,51.476177096367024,-0.0344117060303854,True,Lewisham,Maple,Maple,Acer,1  Mature,Mature(31-80),,,,,20201127,20210218
113,155,541,155_541,13.385129405345731,280857,51.47630249708897,-0.03437750041478,True,Lewisham,Whitebeam,Whitebeam,Sorbus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
91,156,336,156_336,15.491720288215882,269096,51.476177096367024,-0.0344117060303854,True,Lewisham,Maple,Maple,Acer,1  Mature,Mature(31-80),,,,,20201127,20210218
114,156,541,156_541,13.628383176836753,280857,51.47630249708897,-0.03437750041478,True,Lewisham,Whitebeam,Whitebeam,Sorbus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
92,157,336,157_336,18.307231520734767,269096,51.476177096367024,-0.0344117060303854,True,Lewisham,Maple,Maple,Acer,1  Mature,Mature(31-80),,,,,20201127,20210218
115,157,541,157_541,14.49641549481039,280857,51.47630249708897,-0.03437750041478,True,Lewisham,Whitebeam,Whitebeam,Sorbus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
93,158,336,158_336,19.563115442239095,269096,51.476177096367024,-0.0344117060303854,True,Lewisham,Maple,Maple,Acer,1  Mature,Mature(31-80),,,,,20201127,20210218
116,158,541,158_541,12.988518230826104,280857,51.47630249708897,-0.03437750041478,True,Lewisham,Whitebeam,Whitebeam,Sorbus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
117,159,541,159_541,12.257115166104956,280857,51.47630249708897,-0.03437750041478,True,Lewisham,Whitebeam,Whitebeam,Sorbus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
118,160,541,160_541,11.958084531305259,280857,51.47630249708897,-0.03437750041478,True,Lewisham,Whitebeam,Whitebeam,Sorbus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
119,161,541,161_541,13.19008587906478,280857,51.47630249708897,-0.03437750041478,True,Lewisham,Whitebeam,Whitebeam,Sorbus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
132,161,272,161_272,17.737362988996423,262599,51.47645639628176,-0.0344429016112476,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
