,Air measurement,Tree number_x,Air-tree ID,Distance to tree,objectid,lat,lon,Tree within d (default: 20m),borough,gla_tree_group,tree_name,taxon_name,age,age_group,spread_m,height_m,diameter_at_breast_height_cm,gdb_geomattr_data,load_date,updated
0,0,2,0_2,12.580955070484222,78077,51.46455479413281,-0.0165836066007253,True,Lewisham,Other,Undetermined,,,Unknown,,,,,20201127,20210218
59,0,190,0_190,13.19312626710368,262127,51.46455529332172,-0.0166124030947715,True,Lewisham,Sycamore,Sycamore,Acer pseudoplatanus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
81,0,272,0_272,12.13838896569188,274589,51.46467689424766,-0.0163624063134275,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
38,0,68,0_68,12.855592066526274,76294,51.46458319574586,-0.0166688039899032,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
101,0,417,0_417,6.458211980026537,643030,51.46470359712849,-0.0164683014154419,True,TFL,Hornbeam,Hornbeam,Carpinus betulus,,Unknown,,,,,20180214,20210218
22,0,63,0_63,17.687699582490325,76288,51.46451639384044,-0.0164413005113676,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
1,1,2,1_2,12.870839260981032,78077,51.46455479413281,-0.0165836066007253,True,Lewisham,Other,Undetermined,,,Unknown,,,,,20201127,20210218
60,1,190,1_190,13.271290025335732,262127,51.46455529332172,-0.0166124030947715,True,Lewisham,Sycamore,Sycamore,Acer pseudoplatanus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
82,1,272,1_272,13.393494525479554,274589,51.46467689424766,-0.0163624063134275,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
39,1,68,1_68,12.389092718056565,76294,51.46458319574586,-0.0166688039899032,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
102,1,417,1_417,7.144658074497991,643030,51.46470359712849,-0.0164683014154419,True,TFL,Hornbeam,Hornbeam,Carpinus betulus,,Unknown,,,,,20180214,20210218
23,1,63,1_63,18.736867994741875,76288,51.46451639384044,-0.0164413005113676,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
61,2,190,2_190,13.502083977292854,262127,51.46455529332172,-0.0166124030947715,True,Lewisham,Sycamore,Sycamore,Acer pseudoplatanus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
83,2,272,2_272,14.681330308282092,274589,51.46467689424766,-0.0163624063134275,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
40,2,68,2_68,12.075742799247458,76294,51.46458319574586,-0.0166688039899032,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
24,2,63,2_63,19.834220388378256,76288,51.46451639384044,-0.0164413005113676,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
103,2,417,2_417,8.030836411917702,643030,51.46470359712849,-0.0164683014154419,True,TFL,Hornbeam,Hornbeam,Carpinus betulus,,Unknown,,,,,20180214,20210218
2,2,2,2_2,13.309663763043249,78077,51.46455479413281,-0.0165836066007253,True,Lewisham,Other,Undetermined,,,Unknown,,,,,20201127,20210218
41,3,68,3_68,11.927618520950306,76294,51.46458319574586,-0.0166688039899032,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
104,3,417,3_417,9.05831574918617,643030,51.46470359712849,-0.0164683014154419,True,TFL,Hornbeam,Hornbeam,Carpinus betulus,,Unknown,,,,,20180214,20210218
3,3,2,3_2,13.883312572228597,78077,51.46455479413281,-0.0165836066007253,True,Lewisham,Other,Undetermined,,,Unknown,,,,,20201127,20210218
84,3,272,3_272,15.993991920657793,274589,51.46467689424766,-0.0163624063134275,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
62,3,190,3_190,13.877895300162553,262127,51.46455529332172,-0.0166124030947715,True,Lewisham,Sycamore,Sycamore,Acer pseudoplatanus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
4,4,2,4_2,14.575875876655006,78077,51.46455479413281,-0.0165836066007253,True,Lewisham,Other,Undetermined,,,Unknown,,,,,20201127,20210218
85,4,272,4_272,17.325837591460907,274589,51.46467689424766,-0.0163624063134275,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
42,4,68,4_68,11.950865051331945,76294,51.46458319574586,-0.0166688039899032,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
105,4,417,4_417,10.184418984247284,643030,51.46470359712849,-0.0164683014154419,True,TFL,Hornbeam,Hornbeam,Carpinus betulus,,Unknown,,,,,20180214,20210218
63,4,190,4_190,14.387364471810463,262127,51.46455529332172,-0.0166124030947715,True,Lewisham,Sycamore,Sycamore,Acer pseudoplatanus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
5,5,2,5_2,15.371288725883758,78077,51.46455479413281,-0.0165836066007253,True,Lewisham,Other,Undetermined,,,Unknown,,,,,20201127,20210218
43,5,68,5_68,12.144498287863364,76294,51.46458319574586,-0.0166688039899032,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
106,5,417,5_417,11.379905527203698,643030,51.46470359712849,-0.0164683014154419,True,TFL,Hornbeam,Hornbeam,Carpinus betulus,,Unknown,,,,,20180214,20210218
64,5,190,5_190,15.016894019937721,262127,51.46455529332172,-0.0166124030947715,True,Lewisham,Sycamore,Sycamore,Acer pseudoplatanus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
86,5,272,5_272,18.672762798059736,274589,51.46467689424766,-0.0163624063134275,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
6,6,2,6_2,16.25445924586656,78077,51.46455479413281,-0.0165836066007253,True,Lewisham,Other,Undetermined,,,Unknown,,,,,20201127,20210218
44,6,68,6_68,12.500602864521516,76294,51.46458319574586,-0.0166688039899032,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
65,6,190,6_190,15.75209590737409,262127,51.46455529332172,-0.0166124030947715,True,Lewisham,Sycamore,Sycamore,Acer pseudoplatanus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
123,6,67,6_67,19.004553445295457,76293,51.464686393737885,-0.0169235020875242,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
107,6,417,6_417,12.62508068587904,643030,51.46470359712849,-0.0164683014154419,True,TFL,Hornbeam,Hornbeam,Carpinus betulus,,Unknown,,,,,20180214,20210218
124,7,67,7_67,17.732903494010728,76293,51.464686393737885,-0.0169235020875242,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
66,7,190,7_190,16.578917746884397,262127,51.46455529332172,-0.0166124030947715,True,Lewisham,Sycamore,Sycamore,Acer pseudoplatanus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
108,7,417,7_417,13.906603698485535,643030,51.46470359712849,-0.0164683014154419,True,TFL,Hornbeam,Hornbeam,Carpinus betulus,,Unknown,,,,,20180214,20210218
45,7,68,7_68,13.00584000452432,76294,51.46458319574586,-0.0166688039899032,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
7,7,2,7_2,17.21188372087072,78077,51.46455479413281,-0.0165836066007253,True,Lewisham,Other,Undetermined,,,Unknown,,,,,20201127,20210218
8,8,2,8_2,18.231867801400437,78077,51.46455479413281,-0.0165836066007253,True,Lewisham,Other,Undetermined,,,Unknown,,,,,20201127,20210218
125,8,67,8_67,16.487851633433216,76293,51.464686393737885,-0.0169235020875242,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
109,8,417,8_417,15.215292995555044,643030,51.46470359712849,-0.0164683014154419,True,TFL,Hornbeam,Hornbeam,Carpinus betulus,,Unknown,,,,,20180214,20210218
46,8,68,8_68,13.643652160929369,76294,51.46458319574586,-0.0166688039899032,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
67,8,190,8_190,17.484366429810727,262127,51.46455529332172,-0.0166124030947715,True,Lewisham,Sycamore,Sycamore,Acer pseudoplatanus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
126,9,67,9_67,16.72191392388664,76293,51.464686393737885,-0.0169235020875242,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
68,9,190,9_190,17.280364030538212,262127,51.46455529332172,-0.0166124030947715,True,Lewisham,Sycamore,Sycamore,Acer pseudoplatanus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
110,9,417,9_417,14.961783620798192,643030,51.46470359712849,-0.0164683014154419,True,TFL,Hornbeam,Hornbeam,Carpinus betulus,,Unknown,,,,,20180214,20210218
47,9,68,9_68,13.48618985871633,76294,51.46458319574586,-0.0166688039899032,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
9,9,2,9_2,18.007919408998838,78077,51.46455479413281,-0.0165836066007253,True,Lewisham,Other,Undetermined,,,Unknown,,,,,20201127,20210218
127,10,67,10_67,16.957596370032718,76293,51.464686393737885,-0.0169235020875242,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
69,10,190,10_190,17.07874140584404,262127,51.46455529332172,-0.0166124030947715,True,Lewisham,Sycamore,Sycamore,Acer pseudoplatanus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
48,10,68,10_68,13.333038098834386,76294,51.46458319574586,-0.0166688039899032,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
10,10,2,10_2,17.785776190696783,78077,51.46455479413281,-0.0165836066007253,True,Lewisham,Other,Undetermined,,,Unknown,,,,,20201127,20210218
111,10,417,10_417,14.709497338891971,643030,51.46470359712849,-0.0164683014154419,True,TFL,Hornbeam,Hornbeam,Carpinus betulus,,Unknown,,,,,20180214,20210218
49,11,68,11_68,13.18434709577134,76294,51.46458319574586,-0.0166688039899032,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
128,11,67,11_67,17.194832351577787,76293,51.464686393737885,-0.0169235020875242,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
70,11,190,11_190,16.879583831009537,262127,51.46455529332172,-0.0166124030947715,True,Lewisham,Sycamore,Sycamore,Acer pseudoplatanus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
112,11,417,11_417,14.458498175565511,643030,51.46470359712849,-0.0164683014154419,True,TFL,Hornbeam,Hornbeam,Carpinus betulus,,Unknown,,,,,20180214,20210218
11,11,2,11_2,17.56550663197546,78077,51.46455479413281,-0.0165836066007253,True,Lewisham,Other,Undetermined,,,Unknown,,,,,20201127,20210218
113,12,417,12_417,11.874004069298385,643030,51.46470359712849,-0.0164683014154419,True,TFL,Hornbeam,Hornbeam,Carpinus betulus,,Unknown,,,,,20180214,20210218
129,12,67,12_67,19.940765038266917,76293,51.464686393737885,-0.0169235020875242,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
87,12,272,12_272,19.577472820015373,274589,51.46467689424766,-0.0163624063134275,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
71,12,190,12_190,17.56058816824719,262127,51.46455529332172,-0.0166124030947715,True,Lewisham,Sycamore,Sycamore,Acer pseudoplatanus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
50,12,68,12_68,14.506043375761239,76294,51.46458319574586,-0.0166688039899032,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
12,12,2,12_2,17.934979770249637,78077,51.46455479413281,-0.0165836066007253,True,Lewisham,Other,Undetermined,,,Unknown,,,,,20201127,20210218
88,13,272,13_272,16.35982259577233,274589,51.46467689424766,-0.0163624063134275,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
51,13,68,13_68,13.76603331240265,76294,51.46458319574586,-0.0166688039899032,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
72,13,190,13_190,15.949172164483931,262127,51.46455529332172,-0.0166124030947715,True,Lewisham,Sycamore,Sycamore,Acer pseudoplatanus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
13,13,2,13_2,15.985620807642869,78077,51.46455479413281,-0.0165836066007253,True,Lewisham,Other,Undetermined,,,Unknown,,,,,20201127,20210218
114,13,417,13_417,8.863538012785412,643030,51.46470359712849,-0.0164683014154419,True,TFL,Hornbeam,Hornbeam,Carpinus betulus,,Unknown,,,,,20180214,20210218
52,14,68,14_68,13.83237251086406,76294,51.46458319574586,-0.0166688039899032,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
14,14,2,14_2,14.56602597541058,78077,51.46455479413281,-0.0165836066007253,True,Lewisham,Other,Undetermined,,,Unknown,,,,,20201127,20210218
