,Air measurement,Tree number_x,Air-tree ID,Distance to tree,objectid,lat,lon,Tree within d (default: 20m),borough,gla_tree_group,tree_name,taxon_name,age,age_group,spread_m,height_m,diameter_at_breast_height_cm,gdb_geomattr_data,load_date,updated
0,0,125,0_125,19.0138193268691,617061,51.47780599445112,-0.0573052018880761,True,Southwark,Ash,,,,Unknown,,,,,20180214,20210218
275,0,963,0_963,16.704822342887613,839362,51.477715998888144,-0.0576757043600221,True,Southwark,Black Locust,False-acacia,Robinia pseudoacacia,Early Mature (16-30 ,Veteran(over150),,,7.0,,20201127,20210218
259,0,838,0_838,6.863967936322625,131762,51.47765089571483,-0.0575488060712412,True,Southwark,Sycamore,Sycamore,Acer pseudoplatanus,Young (0-15 ,Young(0-15),,,16.0,,20201127,20210218
238,0,836,0_836,15.434647813373381,131760,51.47754329442972,-0.0575678050517284,True,Southwark,Maple,Silver Maple,Acer saccharinum,Mature (31-80 ,Veteran(over150),,,43.0,,20201127,20210218
218,0,835,0_835,8.425121227099496,131759,51.47763319313523,-0.0575640052556108,True,Southwark,Sycamore,Sycamore,Acer pseudoplatanus,Mature (31-80 ,Veteran(over150),,,42.0,,20201127,20210218
202,0,834,0_834,17.908776432549086,131758,51.47768949717285,-0.057705603539954,True,Southwark,Sycamore,Sycamore,Acer pseudoplatanus,Mature (31-80 ,Veteran(over150),,,37.0,,20201127,20210218
178,0,832,0_832,19.153002362997842,131756,51.477581396699016,-0.0576958060264619,True,Southwark,Ash,Ash,Fraxinus excelsior,Mature (31-80 ,Veteran(over150),,,35.0,,20201127,20210218
154,0,797,0_797,19.09510754724123,131720,51.47779019922026,-0.0572693049906692,True,Southwark,Ash,Ash,Fraxinus excelsior,Mature (31-80 ,Veteran(over150),,,42.0,,20201127,20210218
129,0,795,0_795,16.664029581302778,131718,51.47781099379073,-0.0574412047862294,True,Southwark,Ash,Ash,Fraxinus excelsior,Mature (31-80 ,Veteran(over150),,,38.0,,20201127,20210218
107,0,287,0_287,15.650218390384541,87279,51.477583199739605,-0.0572637021541324,True,Southwark,Lime,Small-leaved Lime,Tilia cordata,Mature (31-80 ,Veteran(over150),,,61.0,,20201127,20210218
90,0,286,0_286,15.201509020140902,87278,51.47753969579937,-0.0573519021272715,True,Southwark,Maple,Silver Maple,Acer saccharinum,Mature (31-80 ,Veteran(over150),,,47.0,,20201127,20210218
68,0,285,0_285,14.172282749404044,87277,51.477542594075366,-0.0575246065854354,True,Southwark,Poplar,White Poplar,Populus alba,Early Mature (16-30 ,Veteran(over150),,,48.0,,20201127,20210218
46,0,284,0_284,17.340465218969964,87276,51.4775347933174,-0.0575969070195708,True,Southwark,Maple,Silver Maple,Acer saccharinum,Mature (31-80 ,Veteran(over150),,,32.0,,20201127,20210218
25,0,126,0_126,12.50024862753264,617064,51.477600798010855,-0.0572995021938831,True,Southwark,Lime,,,,Unknown,,,,,20180214,20210218
294,1,332,1_332,13.749134892387403,91046,51.47905549407009,-0.0581948012113677,True,Southwark,Maple,Field Maple,Acer campestre,Early Mature (16-30 ,Veteran(over150),,,26.0,,20201127,20210218
293,1,113,1_113,11.119152436964967,616918,51.47907219827192,-0.0582308024166439,True,Southwark,Maple,,,,Unknown,,,,,20180214,20210218
335,2,222,2_222,9.694550965189668,76726,51.48056779801843,-0.0593691021203827,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),16.0,16.0,54.0,,20201127,20210218
309,2,219,2_219,18.286381041137467,76590,51.48045489937072,-0.059071503579483,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),10.0,11.0,33.0,,20201127,20210218
295,2,204,2_204,19.870763138162932,67837,51.480339497327776,-0.0591628029941726,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),12.0,12.0,43.0,,20201127,20210218
363,3,201,3_201,9.053392981516016,60423,51.48023919761184,-0.0585334002971025,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),10.0,13.0,41.0,,20201127,20210218
381,3,236,3_236,16.027249272705088,82440,51.48023609817034,-0.0588936060667156,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),12.0,14.0,45.0,,20201127,20210218
391,3,925,3_925,18.371152218254448,642767,51.48025269806381,-0.0589281022547875,True,TFL,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
310,4,219,4_219,18.297872882006633,76590,51.48045489937072,-0.059071503579483,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),10.0,11.0,33.0,,20201127,20210218
336,4,222,4_222,9.439855325100499,76726,51.48056779801843,-0.0593691021203827,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),16.0,16.0,54.0,,20201127,20210218
337,5,222,5_222,9.332915128167205,76726,51.48056779801843,-0.0593691021203827,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),16.0,16.0,54.0,,20201127,20210218
311,5,219,5_219,19.039291145511225,76590,51.48045489937072,-0.059071503579483,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),10.0,11.0,33.0,,20201127,20210218
296,6,204,6_204,18.310331360899788,67837,51.480339497327776,-0.0591628029941726,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),12.0,12.0,43.0,,20201127,20210218
312,6,219,6_219,16.58554221917439,76590,51.48045489937072,-0.059071503579483,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),10.0,11.0,33.0,,20201127,20210218
338,6,222,6_222,10.971903215866988,76726,51.48056779801843,-0.0593691021203827,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),16.0,16.0,54.0,,20201127,20210218
297,7,204,7_204,16.266881872300587,67837,51.480339497327776,-0.0591628029941726,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),12.0,12.0,43.0,,20201127,20210218
313,7,219,7_219,14.156668798455783,76590,51.48045489937072,-0.059071503579483,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),10.0,11.0,33.0,,20201127,20210218
339,7,222,7_222,12.899902464456133,76726,51.48056779801843,-0.0593691021203827,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),16.0,16.0,54.0,,20201127,20210218
340,8,222,8_222,15.00592487234599,76726,51.48056779801843,-0.0593691021203827,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),16.0,16.0,54.0,,20201127,20210218
314,8,219,8_219,11.768083783385151,76590,51.48045489937072,-0.059071503579483,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),10.0,11.0,33.0,,20201127,20210218
298,8,204,8_204,14.37707062095646,67837,51.480339497327776,-0.0591628029941726,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),12.0,12.0,43.0,,20201127,20210218
299,9,204,9_204,13.448382828454509,67837,51.480339497327776,-0.0591628029941726,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),12.0,12.0,43.0,,20201127,20210218
341,9,222,9_222,16.505783135402517,76726,51.48056779801843,-0.0593691021203827,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),16.0,16.0,54.0,,20201127,20210218
315,9,219,9_219,9.746727785538399,76590,51.48045489937072,-0.059071503579483,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),10.0,11.0,33.0,,20201127,20210218
316,10,219,10_219,7.497328173997786,76590,51.48045489937072,-0.059071503579483,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),10.0,11.0,33.0,,20201127,20210218
