,Air measurement,Tree number_x,Air-tree ID,Distance_to_tree,objectid,lat,lon,Tree_within_d_(default: 20m),borough,gla_tree_group,tree_name,taxon_name,age,age_group,spread_m,height_m,diameter_at_breast_height_cm,gdb_geomattr_data,load_date,updated
0,98,275,98_275,3.8090938319582213,274594,51.46456099301578,-0.0142942070960621,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
1,99,275,99_275,4.441915178323856,274594,51.46456099301578,-0.0142942070960621,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
2,140,420,140_420,0.7508441455031288,643308,51.46418769657613,-0.0122925043105356,True,TFL,Lime,Lime,Tilia platyphyllos x cordata = T. x europaea,,Unknown,,,,,20180214,20210218
6,143,419,143_419,4.336171283965913,643307,51.464135594666,-0.0122415050863818,True,TFL,Lime,Lime,Tilia platyphyllos x cordata = T. x europaea,,Unknown,,,,,20180214,20210218
3,147,420,147_420,4.281992627041064,643308,51.46418769657613,-0.0122925043105356,True,TFL,Lime,Lime,Tilia platyphyllos x cordata = T. x europaea,,Unknown,,,,,20180214,20210218
4,148,420,148_420,0.7374309052355819,643308,51.46418769657613,-0.0122925043105356,True,TFL,Lime,Lime,Tilia platyphyllos x cordata = T. x europaea,,Unknown,,,,,20180214,20210218
5,149,420,149_420,3.6851053950555417,643308,51.46418769657613,-0.0122925043105356,True,TFL,Lime,Lime,Tilia platyphyllos x cordata = T. x europaea,,Unknown,,,,,20180214,20210218
7,149,419,149_419,3.1974627974543433,643307,51.464135594666,-0.0122415050863818,True,TFL,Lime,Lime,Tilia platyphyllos x cordata = T. x europaea,,Unknown,,,,,20180214,20210218
8,150,419,150_419,1.9104814642078363,643307,51.464135594666,-0.0122415050863818,True,TFL,Lime,Lime,Tilia platyphyllos x cordata = T. x europaea,,Unknown,,,,,20180214,20210218
9,151,400,151_400,2.9647304685394547,283178,51.46407609432944,-0.0122133046388326,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
10,152,400,152_400,3.6082117210719495,283178,51.46407609432944,-0.0122133046388326,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
11,153,399,153_399,3.478448744323178,283177,51.46398649364718,-0.0122316032647192,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
12,154,399,154_399,0.7080773869656168,283177,51.46398649364718,-0.0122316032647192,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
13,155,399,155_399,2.0524453445858533,283177,51.46398649364718,-0.0122316032647192,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
14,190,392,190_392,2.3455647294120454,279049,51.463550493121126,-0.0125097036361235,True,Lewisham,Maple,Silver Maple,Acer saccharinum,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
15,191,392,191_392,3.825003441064792,279049,51.463550493121126,-0.0125097036361235,True,Lewisham,Maple,Silver Maple,Acer saccharinum,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
21,196,316,196_316,2.0256417160285105,274640,51.46302519738682,-0.0128204002976581,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
24,197,389,197_389,2.5239722605548627,279046,51.46318549662838,-0.0127271041273707,True,Lewisham,Maple,Silver Maple,Acer saccharinum,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
28,199,391,199_391,4.720507229538609,279048,51.46335479617132,-0.0126333013176948,True,Lewisham,Maple,Silver Maple,Acer saccharinum,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
29,202,390,202_390,4.624773013788697,279047,51.46329239755881,-0.0126648023724536,True,Lewisham,Maple,Silver Maple,Acer saccharinum,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
25,205,389,205_389,4.489929781436758,279046,51.46318549662838,-0.0127271041273707,True,Lewisham,Maple,Silver Maple,Acer saccharinum,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
26,206,389,206_389,2.399409476081771,279046,51.46318549662838,-0.0127271041273707,True,Lewisham,Maple,Silver Maple,Acer saccharinum,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
27,207,389,207_389,3.658115943587193,279046,51.46318549662838,-0.0127271041273707,True,Lewisham,Maple,Silver Maple,Acer saccharinum,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
30,208,388,208_388,2.672172320148659,279045,51.46310529857881,-0.0127738043665327,True,Lewisham,Maple,Silver Maple,Acer saccharinum,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
31,209,388,209_388,1.871050511707595,279045,51.46310529857881,-0.0127738043665327,True,Lewisham,Maple,Silver Maple,Acer saccharinum,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
22,211,316,211_316,2.211040843036369,274640,51.46302519738682,-0.0128204002976581,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
32,212,315,212_315,4.80932200222807,274639,51.46295379847306,-0.0128523036836686,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
23,212,316,212_316,4.563911214488525,274640,51.46302519738682,-0.0128204002976581,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
33,213,315,213_315,1.957366070962176,274639,51.46295379847306,-0.0128523036836686,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
34,214,315,214_315,3.384209061066421,274639,51.46295379847306,-0.0128523036836686,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
35,220,247,220_247,3.425634080145635,272559,51.46281079947958,-0.0134344026445318,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
40,222,117,222_117,1.8317900540161458,253250,51.46289609372628,-0.0136898010968872,True,Lewisham,Sycamore,Sycamore,Acer pseudoplatanus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
43,222,244,222_244,4.461493968525484,272556,51.462877400219575,-0.0136475041508207,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
47,223,29,223_29,4.409076021709079,273206,51.46283799409871,-0.0134476050734041,True,Lewisham,Other,Black Mulberry,,Over  Mature,Veteran(over150),,,,,20201127,20210218
52,223,245,223_245,2.913671033230068,272557,51.46283949911598,-0.0135339051484677,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
56,223,246,223_246,3.593529558742996,272558,51.46282949298621,-0.0134768038987689,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
61,224,251,224_251,4.491555692949047,272564,51.46283649653206,-0.0133613049984074,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
36,228,247,228_247,4.78783789061427,272559,51.46281079947958,-0.0134344026445318,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
37,229,247,229_247,2.554628062204181,272559,51.46281079947958,-0.0134344026445318,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
57,230,246,230_246,3.576666557291056,272558,51.46282949298621,-0.0134768038987689,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
38,230,247,230_247,0.7083883490369602,272559,51.46281079947958,-0.0134344026445318,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
48,230,29,230_29,3.571418421216557,273206,51.46283799409871,-0.0134476050734041,True,Lewisham,Other,Black Mulberry,,Over  Mature,Veteran(over150),,,,,20201127,20210218
49,231,29,231_29,3.029544431821491,273206,51.46283799409871,-0.0134476050734041,True,Lewisham,Other,Black Mulberry,,Over  Mature,Veteran(over150),,,,,20201127,20210218
39,231,247,231_247,2.691604317284987,272559,51.46281079947958,-0.0134344026445318,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
58,231,246,231_246,1.5754067687027475,272558,51.46282949298621,-0.0134768038987689,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
53,232,245,232_245,2.651077779499304,272557,51.46283949911598,-0.0135339051484677,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
