,Air measurement,Tree number_x,Air-tree ID,Distance_to_tree,objectid,lat,lon,Tree_within_d_(default: 20m),borough,gla_tree_group,tree_name,taxon_name,age,age_group,spread_m,height_m,diameter_at_breast_height_cm,gdb_geomattr_data,load_date,updated
0,5,2379,5_2379,4.837539219838925,663364,51.514090299606416,-0.1179767027497296,True,Westminster,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
4,6,2380,6_2380,3.498579540260667,663365,51.51400299370292,-0.1179198026656901,True,Westminster,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
5,7,2380,7_2380,4.70143545749987,663365,51.51400299370292,-0.1179198026656901,True,Westminster,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
1,9,2379,9_2379,3.0028683119077777,663364,51.514090299606416,-0.1179767027497296,True,Westminster,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
2,10,2379,10_2379,1.011632203706901,663364,51.514090299606416,-0.1179767027497296,True,Westminster,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
3,11,2379,11_2379,2.8184473233464833,663364,51.514090299606416,-0.1179767027497296,True,Westminster,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
6,20,2378,20_2378,4.0509216032002175,663363,51.51434309780607,-0.1181522011755807,True,Westminster,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
7,22,2377,22_2377,3.080434738717126,663362,51.5144358947873,-0.1182190030813163,True,Westminster,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
8,23,2377,23_2377,0.8909534140826537,663362,51.5144358947873,-0.1182190030813163,True,Westminster,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
9,24,2377,24_2377,4.83433081704376,663362,51.5144358947873,-0.1182190030813163,True,Westminster,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
10,25,2376,25_2376,2.004582478851817,663361,51.51450959593065,-0.1182722002267607,True,Westminster,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
11,26,2376,26_2376,2.864840072103605,663361,51.51450959593065,-0.1182722002267607,True,Westminster,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
12,27,2374,27_2374,3.9600157613437976,663359,51.51466059684751,-0.1183784008025713,True,Westminster,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
13,33,2374,33_2374,2.7129488808659485,663359,51.51466059684751,-0.1183784008025713,True,Westminster,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
14,34,2374,34_2374,1.9397302448691662,663359,51.51466059684751,-0.1183784008025713,True,Westminster,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
15,35,2374,35_2374,1.4901439283278985,663359,51.51466059684751,-0.1183784008025713,True,Westminster,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
16,36,2374,36_2374,4.304859529708068,663359,51.51466059684751,-0.1183784008025713,True,Westminster,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
17,37,2374,37_2374,4.17111789341905,663359,51.51466059684751,-0.1183784008025713,True,Westminster,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
18,38,2374,38_2374,4.835523698601694,663359,51.51466059684751,-0.1183784008025713,True,Westminster,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
19,39,2375,39_2375,4.016205157415578,663360,51.51459139585505,-0.1183250024914677,True,Westminster,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
