,time,pm_1,pm_25,pm_10,pm_4,temperature,humidity,pressure,temperature2,latitude,longitude,elevation,Dist_to_closest_tree,Air measurement,Tree number_x,Air-tree ID,Distance_to_tree,objectid,lat,lon,Tree_within_d_(default: 20m),borough,gla_tree_group,tree_name,taxon_name,age,age_group,spread_m,height_m,diameter_at_breast_height_cm,gdb_geomattr_data,load_date,updated
0,2024-06-17 15:01:00,1.1,2.23,3.45,1.16,,,,,51.47766142842959,-0.057451259102628,4.3318837499246,6.863967936322625,0.0,835.0,0_835,8.425121227099496,131759.0,51.47763319313523,-0.0575640052556108,True,Southwark,Sycamore,Sycamore,Acer pseudoplatanus,Mature (31-80 ,Veteran(over150),,,42.0,,20201127.0,20210218.0
1,2024-06-17 15:01:00,1.1,2.23,3.45,1.16,,,,,51.47766142842959,-0.057451259102628,4.3318837499246,6.863967936322625,0.0,838.0,0_838,6.863967936322625,131762.0,51.47765089571483,-0.0575488060712412,True,Southwark,Sycamore,Sycamore,Acer pseudoplatanus,Young (0-15 ,Young(0-15),,,16.0,,20201127.0,20210218.0
2,2024-06-17 15:01:02,1.11,2.34,3.57,1.18,,,,,51.47907270753235,-0.0583911817606415,5.100422008428723,11.119152436964967,,,,,,,,,,,,,,,,,,,,
3,2024-06-17 15:01:05,1.11,2.28,3.51,1.17,31.0,20.0,1011.7,30.6,51.48048398663511,-0.059331104418655,5.868960266932845,9.694550965189668,2.0,222.0,2_222,9.694550965189668,76726.0,51.48056779801843,-0.0593691021203827,True,Southwark,Plane,Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),16.0,16.0,54.0,,20201127.0,20210218.0
4,2024-06-17 15:01:05,1.11,2.28,3.51,1.17,31.0,20.0,1011.7,30.6,51.480248018010634,-0.058663218512086,4.475715695880354,9.053392981516016,3.0,201.0,3_201,9.053392981516016,60423.0,51.48023919761184,-0.0585334002971025,True,Southwark,Plane,Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),10.0,13.0,41.0,,20201127.0,20210218.0
5,2024-06-17 15:01:07,1.08,2.6,3.31,1.15,31.0,20.0,1011.8,30.5,51.48048647266314,-0.059330523384179,5.809408249333501,9.439855325100499,4.0,222.0,4_222,9.439855325100499,76726.0,51.48056779801843,-0.0593691021203827,True,Southwark,Plane,Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),16.0,16.0,54.0,,20201127.0,20210218.0
6,2024-06-17 15:01:09,1.05,2.32,3.48,1.11,31.0,20.0,1011.7,30.5,51.48048572200435,-0.059341636266028,6.027910782955587,9.332915128167205,5.0,222.0,5_222,9.332915128167205,76726.0,51.48056779801843,-0.0593691021203827,True,Southwark,Plane,Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),16.0,16.0,54.0,,20201127.0,20210218.0
7,2024-06-17 15:01:12,1.0,2.41,3.52,1.05,31.0,20.0,1011.8,30.5,51.48047684342406,-0.059308129874469664,6.094607699662447,10.971903215866988,,,,,,,,,,,,,,,,,,,,
8,2024-06-17 15:01:14,1.0,2.05,3.11,1.01,30.0,21.0,1011.8,30.4,51.480467964843754,-0.059274623482911334,6.161304616369307,12.899902464456133,,,,,,,,,,,,,,,,,,,,
9,2024-06-17 15:01:17,1.0,2.14,3.21,1.02,,,,,51.48045908626346,-0.059241117091353,6.228001533076167,11.768083783385151,,,,,,,,,,,,,,,,,,,,
